"Label (Grouping)","Aleutians East census subarea, Aleutians East Borough, Alaska!!Count","Aleutians East census subarea, Aleutians East Borough, Alaska!!Percent","Aleutians West census subarea, Aleutians West Census Area, Alaska!!Count","Aleutians West census subarea, Aleutians West Census Area, Alaska!!Percent","Anchorage census subarea, Anchorage Municipality, Alaska!!Count","Anchorage census subarea, Anchorage Municipality, Alaska!!Percent","Aniak census subarea, Bethel Census Area, Alaska!!Count","Aniak census subarea, Bethel Census Area, Alaska!!Percent","Lower Kuskokwim census subarea, Bethel Census Area, Alaska!!Count","Lower Kuskokwim census subarea, Bethel Census Area, Alaska!!Percent","Bristol Bay census subarea, Bristol Bay Borough, Alaska!!Count","Bristol Bay census subarea, Bristol Bay Borough, Alaska!!Percent","Chugach census subarea, Chugach Census Area, Alaska!!Count","Chugach census subarea, Chugach Census Area, Alaska!!Percent","Copper River census subarea, Copper River Census Area, Alaska!!Count","Copper River census subarea, Copper River Census Area, Alaska!!Percent","Denali census subarea, Denali Borough, Alaska!!Count","Denali census subarea, Denali Borough, Alaska!!Percent","Dillingham census subarea, Dillingham Census Area, Alaska!!Count","Dillingham census subarea, Dillingham Census Area, Alaska!!Percent","Fairbanks North Star census subarea, Fairbanks North Star Borough, Alaska!!Count","Fairbanks North Star census subarea, Fairbanks North Star Borough, Alaska!!Percent","Haines census subarea, Haines Borough, Alaska!!Count","Haines census subarea, Haines Borough, Alaska!!Percent","Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska!!Count","Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska!!Percent","Klukwan census subarea, Hoonah-Angoon Census Area, Alaska!!Count","Klukwan census subarea, Hoonah-Angoon Census Area, Alaska!!Percent","Juneau census subarea, Juneau City and Borough, Alaska!!Count","Juneau census subarea, Juneau City and Borough, Alaska!!Percent","Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska!!Count","Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska!!Percent","Seward-Hope census subarea, Kenai Peninsula Borough, Alaska!!Count","Seward-Hope census subarea, Kenai Peninsula Borough, Alaska!!Percent","Ketchikan census subarea, Ketchikan Gateway Borough, Alaska!!Count","Ketchikan census subarea, Ketchikan Gateway Borough, Alaska!!Percent","Kodiak Island census subarea, Kodiak Island Borough, Alaska!!Count","Kodiak Island census subarea, Kodiak Island Borough, Alaska!!Percent","Kusilvak census subarea, Kusilvak Census Area, Alaska!!Count","Kusilvak census subarea, Kusilvak Census Area, Alaska!!Percent","Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska!!Count","Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska!!Percent","Matanuska-Susitna census subarea, Matanuska-Susitna Borough, Alaska!!Count","Matanuska-Susitna census subarea, Matanuska-Susitna Borough, Alaska!!Percent","Nome census subarea, Nome Census Area, Alaska!!Count","Nome census subarea, Nome Census Area, Alaska!!Percent","North Slope census subarea, North Slope Borough, Alaska!!Count","North Slope census subarea, North Slope Borough, Alaska!!Percent","Northwest Arctic census subarea, Northwest Arctic Borough, Alaska!!Count","Northwest Arctic census subarea, Northwest Arctic Borough, Alaska!!Percent","Petersburg census subarea, Petersburg Borough, Alaska!!Count","Petersburg census subarea, Petersburg Borough, Alaska!!Percent","Hyder census subarea, Prince of Wales-Hyder Census Area, Alaska!!Count","Hyder census subarea, Prince of Wales-Hyder Census Area, Alaska!!Percent","Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska!!Count","Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska!!Percent","Prince of Wales census subarea, Prince of Wales-Hyder Census Area, Alaska!!Count","Prince of Wales census subarea, Prince of Wales-Hyder Census Area, Alaska!!Percent","Sitka census subarea, Sitka City and Borough, Alaska!!Count","Sitka census subarea, Sitka City and Borough, Alaska!!Percent","Skagway census subarea, Skagway Municipality, Alaska!!Count","Skagway census subarea, Skagway Municipality, Alaska!!Percent","Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska!!Count","Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska!!Percent","Wrangell census subarea, Wrangell City and Borough, Alaska!!Count","Wrangell census subarea, Wrangell City and Borough, Alaska!!Percent","Yakutat census subarea, Yakutat City and Borough, Alaska!!Count","Yakutat census subarea, Yakutat City and Borough, Alaska!!Percent","Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska!!Count","Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska!!Percent","McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska!!Count","McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska!!Percent","Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska!!Count","Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total population","3,420","100.0%","5,232","100.0%","291,247","100.0%","1,456","100.0%","17,210","100.0%","844","100.0%","7,102","100.0%","2,617","100.0%","1,619","100.0%","4,857","100.0%","95,655","100.0%","2,080","100.0%","2,278","100.0%","87","100.0%","32,255","100.0%","52,885","100.0%","5,914","100.0%","13,948","100.0%","13,101","100.0%","8,368","100.0%","1,476","100.0%","107,081","100.0%","10,046","100.0%","11,031","100.0%","7,793","100.0%","3,398","100.0%","71","100.0%","1,562","100.0%","4,120","100.0%","8,458","100.0%","1,240","100.0%","6,808","100.0%","2,127","100.0%","662","100.0%","3,186","100.0%","1,071","100.0%","1,086","100.0%"
"Under 5 years","70","2.0%","162","3.1%","18,738","6.4%","117","8.0%","1,677","9.7%","45","5.3%","443","6.2%","137","5.2%","89","5.5%","434","8.9%","6,697","7.0%","93","4.5%","128","5.6%","3","3.4%","1,705","5.3%","3,037","5.7%","295","5.0%","699","5.0%","822","6.3%","982","11.7%","137","9.3%","7,220","6.7%","918","9.1%","791","7.2%","763","9.8%","156","4.6%","1","1.4%","114","7.3%","233","5.7%","440","5.2%","82","6.6%","379","5.6%","112","5.3%","32","4.8%","195","6.1%","93","8.7%","65","6.0%"
"5 to 9 years","72","2.1%","208","4.0%","19,261","6.6%","154","10.6%","1,762","10.2%","62","7.3%","474","6.7%","161","6.2%","81","5.0%","434","8.9%","6,581","6.9%","105","5.0%","143","6.3%","6","6.9%","1,972","6.1%","3,212","6.1%","266","4.5%","918","6.6%","972","7.4%","942","11.3%","121","8.2%","8,360","7.8%","937","9.3%","805","7.3%","805","10.3%","247","7.3%","2","2.8%","129","8.3%","266","6.5%","468","5.5%","67","5.4%","452","6.6%","134","6.3%","44","6.6%","252","7.9%","85","7.9%","94","8.7%"
"10 to 14 years","99","2.9%","174","3.3%","19,253","6.6%","134","9.2%","1,637","9.5%","42","5.0%","473","6.7%","185","7.1%","104","6.4%","443","9.1%","6,231","6.5%","121","5.8%","162","7.1%","6","6.9%","2,031","6.3%","3,442","6.5%","292","4.9%","931","6.7%","956","7.3%","983","11.7%","108","7.3%","8,652","8.1%","965","9.6%","827","7.5%","807","10.4%","209","6.2%","8","11.3%","135","8.6%","273","6.6%","535","6.3%","66","5.3%","469","6.9%","114","5.4%","27","4.1%","274","8.6%","96","9.0%","80","7.4%"
"15 to 19 years","104","3.0%","211","4.0%","18,692","6.4%","109","7.5%","1,576","9.2%","47","5.6%","419","5.9%","149","5.7%","74","4.6%","333","6.9%","5,865","6.1%","93","4.5%","112","4.9%","2","2.3%","1,933","6.0%","3,291","6.2%","282","4.8%","855","6.1%","822","6.3%","798","9.5%","111","7.5%","7,298","6.8%","773","7.7%","905","8.2%","669","8.6%","181","5.3%","4","5.6%","105","6.7%","245","5.9%","490","5.8%","46","3.7%","414","6.1%","104","4.9%","38","5.7%","184","5.8%","31","2.9%","68","6.3%"
"20 to 24 years","190","5.6%","368","7.0%","21,075","7.2%","98","6.7%","1,358","7.9%","40","4.7%","366","5.2%","100","3.8%","49","3.0%","330","6.8%","9,497","9.9%","75","3.6%","79","3.5%","6","6.9%","1,728","5.4%","2,372","4.5%","335","5.7%","750","5.4%","912","7.0%","648","7.7%","92","6.2%","5,485","5.1%","675","6.7%","650","5.9%","531","6.8%","158","4.6%","6","8.5%","91","5.8%","152","3.7%","486","5.7%","27","2.2%","327","4.8%","89","4.2%","29","4.4%","149","4.7%","68","6.3%","65","6.0%"
"25 to 29 years","319","9.3%","468","8.9%","23,710","8.1%","109","7.5%","1,365","7.9%","59","7.0%","495","7.0%","111","4.2%","99","6.1%","347","7.1%","8,748","9.1%","103","5.0%","112","4.9%","0","0.0%","2,321","7.2%","2,879","5.4%","450","7.6%","828","5.9%","950","7.3%","648","7.7%","117","7.9%","6,607","6.2%","799","8.0%","869","7.9%","562","7.2%","175","5.2%","7","9.9%","106","6.8%","190","4.6%","563","6.7%","74","6.0%","426","6.3%","109","5.1%","34","5.1%","165","5.2%","74","6.9%","60","5.5%"
"30 to 34 years","401","11.7%","574","11.0%","23,704","8.1%","117","8.0%","1,230","7.1%","65","7.7%","561","7.9%","156","6.0%","122","7.5%","408","8.4%","7,830","8.2%","107","5.1%","121","5.3%","3","3.4%","2,601","8.1%","3,291","6.2%","504","8.5%","997","7.1%","1,081","8.3%","645","7.7%","114","7.7%","7,587","7.1%","809","8.1%","945","8.6%","649","8.3%","262","7.7%","2","2.8%","97","6.2%","258","6.3%","619","7.3%","107","8.6%","478","7.0%","129","6.1%","39","5.9%","233","7.3%","81","7.6%","54","5.0%"
"35 to 39 years","409","12.0%","607","11.6%","21,943","7.5%","106","7.3%","998","5.8%","48","5.7%","583","8.2%","170","6.5%","140","8.6%","282","5.8%","7,139","7.5%","151","7.3%","123","5.4%","8","9.2%","2,540","7.9%","3,327","6.3%","454","7.7%","1,025","7.3%","992","7.6%","417","5.0%","122","8.3%","7,885","7.4%","692","6.9%","935","8.5%","483","6.2%","234","6.9%","1","1.4%","93","6.0%","273","6.6%","616","7.3%","128","10.3%","505","7.4%","127","6.0%","41","6.2%","201","6.3%","68","6.3%","68","6.3%"
