"Label (Grouping)","Chinle CCD, Apache County, Arizona!!Count","Chinle CCD, Apache County, Arizona!!Percent","Dennehotso CCD, Apache County, Arizona!!Count","Dennehotso CCD, Apache County, Arizona!!Percent","Eagar-Springerville CCD, Apache County, Arizona!!Count","Eagar-Springerville CCD, Apache County, Arizona!!Percent","Fort Apache CCD, Apache County, Arizona!!Count","Fort Apache CCD, Apache County, Arizona!!Percent","Fort Defiance CCD, Apache County, Arizona!!Count","Fort Defiance CCD, Apache County, Arizona!!Percent","Puerco CCD, Apache County, Arizona!!Count","Puerco CCD, Apache County, Arizona!!Percent","St. Johns CCD, Apache County, Arizona!!Count","St. Johns CCD, Apache County, Arizona!!Percent","Sweetwater CCD, Apache County, Arizona!!Count","Sweetwater CCD, Apache County, Arizona!!Percent","Benson CCD, Cochise County, Arizona!!Count","Benson CCD, Cochise County, Arizona!!Percent","Bisbee CCD, Cochise County, Arizona!!Count","Bisbee CCD, Cochise County, Arizona!!Percent","Bowie CCD, Cochise County, Arizona!!Count","Bowie CCD, Cochise County, Arizona!!Percent","Douglas CCD, Cochise County, Arizona!!Count","Douglas CCD, Cochise County, Arizona!!Percent","Elfrida CCD, Cochise County, Arizona!!Count","Elfrida CCD, Cochise County, Arizona!!Percent","Sierra Vista CCD, Cochise County, Arizona!!Count","Sierra Vista CCD, Cochise County, Arizona!!Percent","Willcox CCD, Cochise County, Arizona!!Count","Willcox CCD, Cochise County, Arizona!!Percent","Flagstaff CCD, Coconino County, Arizona!!Count","Flagstaff CCD, Coconino County, Arizona!!Percent","Havasupai CCD, Coconino County, Arizona!!Count","Havasupai CCD, Coconino County, Arizona!!Percent","Hopi CCD, Coconino County, Arizona!!Count","Hopi CCD, Coconino County, Arizona!!Percent","Hualapai CCD, Coconino County, Arizona!!Count","Hualapai CCD, Coconino County, Arizona!!Percent","Kaibab Plateau CCD, Coconino County, Arizona!!Count","Kaibab Plateau CCD, Coconino County, Arizona!!Percent","Tuba City CCD, Coconino County, Arizona!!Count","Tuba City CCD, Coconino County, Arizona!!Percent","Williams CCD, Coconino County, Arizona!!Count","Williams CCD, Coconino County, Arizona!!Percent","Fort Apache CCD, Gila County, Arizona!!Count","Fort Apache CCD, Gila County, Arizona!!Percent","Globe-Miami CCD, Gila County, Arizona!!Count","Globe-Miami CCD, Gila County, Arizona!!Percent","Payson CCD, Gila County, Arizona!!Count","Payson CCD, Gila County, Arizona!!Percent","San Carlos CCD, Gila County, Arizona!!Count","San Carlos CCD, Gila County, Arizona!!Percent","Tonto Basin CCD, Gila County, Arizona!!Count","Tonto Basin CCD, Gila County, Arizona!!Percent","Winkelman CCD, Gila County, Arizona!!Count","Winkelman CCD, Gila County, Arizona!!Percent","Bonita-Klondyke CCD, Graham County, Arizona!!Count","Bonita-Klondyke CCD, Graham County, Arizona!!Percent","Pima CCD, Graham County, Arizona!!Count","Pima CCD, Graham County, Arizona!!Percent","Safford CCD, Graham County, Arizona!!Count","Safford CCD, Graham County, Arizona!!Percent","San Carlos CCD, Graham County, Arizona!!Count","San Carlos CCD, Graham County, Arizona!!Percent","Clifton CCD, Greenlee County, Arizona!!Count","Clifton CCD, Greenlee County, Arizona!!Percent","Duncan CCD, Greenlee County, Arizona!!Count","Duncan CCD, Greenlee County, Arizona!!Percent","Parker CCD, La Paz County, Arizona!!Count","Parker CCD, La Paz County, Arizona!!Percent","Buckeye CCD, Maricopa County, Arizona!!Count","Buckeye CCD, Maricopa County, Arizona!!Percent","Chandler CCD, Maricopa County, Arizona!!Count","Chandler CCD, Maricopa County, Arizona!!Percent","Deer Valley CCD, Maricopa County, Arizona!!Count","Deer Valley CCD, Maricopa County, Arizona!!Percent","Gila Bend CCD, Maricopa County, Arizona!!Count","Gila Bend CCD, Maricopa County, Arizona!!Percent","Phoenix CCD, Maricopa County, Arizona!!Count","Phoenix CCD, Maricopa County, Arizona!!Percent","St. Johns CCD, Maricopa County, Arizona!!Count","St. Johns CCD, Maricopa County, Arizona!!Percent","Salt River CCD, Maricopa County, Arizona!!Count","Salt River CCD, Maricopa County, Arizona!!Percent","Tonto National Forest CCD, Maricopa County, Arizona!!Count","Tonto National Forest CCD, Maricopa County, Arizona!!Percent","Wickenburg CCD, Maricopa County, Arizona!!Count","Wickenburg CCD, Maricopa County, Arizona!!Percent","Bullhead City CCD, Mohave County, Arizona!!Count","Bullhead City CCD, Mohave County, Arizona!!Percent","Kingman CCD, Mohave County, Arizona!!Count","Kingman CCD, Mohave County, Arizona!!Percent","Lake Havasu City CCD, Mohave County, Arizona!!Count","Lake Havasu City CCD, Mohave County, Arizona!!Percent","North Mohave CCD, Mohave County, Arizona!!Count","North Mohave CCD, Mohave County, Arizona!!Percent","Fort Apache CCD, Navajo County, Arizona!!Count","Fort Apache CCD, Navajo County, Arizona!!Percent","Hopi CCD, Navajo County, Arizona!!Count","Hopi CCD, Navajo County, Arizona!!Percent","Indian Wells CCD, Navajo County, Arizona!!Count","Indian Wells CCD, Navajo County, Arizona!!Percent","Kayenta CCD, Navajo County, Arizona!!Count","Kayenta CCD, Navajo County, Arizona!!Percent","Piñon CCD, Navajo County, Arizona!!Count","Piñon CCD, Navajo County, Arizona!!Percent","Snowflake CCD, Navajo County, Arizona!!Count","Snowflake CCD, Navajo County, Arizona!!Percent","Winslow-Holbrook CCD, Navajo County, Arizona!!Count","Winslow-Holbrook CCD, Navajo County, Arizona!!Percent","Ajo CCD, Pima County, Arizona!!Count","Ajo CCD, Pima County, Arizona!!Percent","Arivaca CCD, Pima County, Arizona!!Count","Arivaca CCD, Pima County, Arizona!!Percent","Marana CCD, Pima County, Arizona!!Count","Marana CCD, Pima County, Arizona!!Percent","Tohono O'odham Nation CCD, Pima County, Arizona!!Count","Tohono O'odham Nation CCD, Pima County, Arizona!!Percent","Tucson CCD, Pima County, Arizona!!Count","Tucson CCD, Pima County, Arizona!!Percent","Casa Grande CCD, Pinal County, Arizona!!Count","Casa Grande CCD, Pinal County, Arizona!!Percent","Coolidge CCD, Pinal County, Arizona!!Count","Coolidge CCD, Pinal County, Arizona!!Percent","Eloy CCD, Pinal County, Arizona!!Count","Eloy CCD, Pinal County, Arizona!!Percent","Florence CCD, Pinal County, Arizona!!Count","Florence CCD, Pinal County, Arizona!!Percent","Gila River CCD, Pinal County, Arizona!!Count","Gila River CCD, Pinal County, Arizona!!Percent","Maricopa-Stanfield CCD, Pinal County, Arizona!!Count","Maricopa-Stanfield CCD, Pinal County, Arizona!!Percent","North Pinal CCD, Pinal County, Arizona!!Count","North Pinal CCD, Pinal County, Arizona!!Percent","San Manuel CCD, Pinal County, Arizona!!Count","San Manuel CCD, Pinal County, Arizona!!Percent","Tohono O'odham Nation CCD, Pinal County, Arizona!!Count","Tohono O'odham Nation CCD, Pinal County, Arizona!!Percent","Nogales CCD, Santa Cruz County, Arizona!!Count","Nogales CCD, Santa Cruz County, Arizona!!Percent","Patagonia CCD, Santa Cruz County, Arizona!!Count","Patagonia CCD, Santa Cruz County, Arizona!!Percent","Ash Fork CCD, Yavapai County, Arizona!!Count","Ash Fork CCD, Yavapai County, Arizona!!Percent","Camp Verde-Sedona CCD, Yavapai County, Arizona!!Count","Camp Verde-Sedona CCD, Yavapai County, Arizona!!Percent","Congress CCD, Yavapai County, Arizona!!Count","Congress CCD, Yavapai County, Arizona!!Percent","Cordes Lakes-Mayer CCD, Yavapai County, Arizona!!Count","Cordes Lakes-Mayer CCD, Yavapai County, Arizona!!Percent","Mingus Mountain CCD, Yavapai County, Arizona!!Count","Mingus Mountain CCD, Yavapai County, Arizona!!Percent","Prescott CCD, Yavapai County, Arizona!!Count","Prescott CCD, Yavapai County, Arizona!!Percent","Somerton CCD, Yuma County, Arizona!!Count","Somerton CCD, Yuma County, Arizona!!Percent","Wellton CCD, Yuma County, Arizona!!Count","Wellton CCD, Yuma County, Arizona!!Percent","Yuma CCD, Yuma County, Arizona!!Count","Yuma CCD, Yuma County, Arizona!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total population","19,598","100.0%","1,549","100.0%","8,696","100.0%","520","100.0%","20,640","100.0%","2,353","100.0%","8,174","100.0%","4,491","100.0%","12,438","100.0%","28,916","100.0%","1,816","100.0%","18,552","100.0%","4,908","100.0%","49,797","100.0%","9,020","100.0%","101,822","100.0%","214","100.0%","44","100.0%","8","100.0%","1,938","100.0%","30,054","100.0%","11,021","100.0%","1,825","100.0%","16,738","100.0%","24,870","100.0%","5,531","100.0%","3,264","100.0%","1,044","100.0%","2,555","100.0%","4,682","100.0%","26,576","100.0%","4,720","100.0%","7,035","100.0%","2,528","100.0%","16,557","100.0%","101,334","100.0%","510,731","100.0%","305,018","100.0%","27,573","100.0%","3,331,925","100.0%","3,583","100.0%","7,486","100.0%","12,360","100.0%","120,558","100.0%","70,776","100.0%","72,205","100.0%","62,269","100.0%","8,017","100.0%","11,995","100.0%","6,433","100.0%","6,453","100.0%","9,721","100.0%","6,940","100.0%","48,213","100.0%","16,962","100.0%","3,207","100.0%","92,046","100.0%","36,747","100.0%","6,418","100.0%","905,015","100.0%","62,730","100.0%","17,121","100.0%","30,939","100.0%","38,705","100.0%","10,498","100.0%","65,757","100.0%","179,637","100.0%","19,412","100.0%","465","100.0%","44,704","100.0%","2,965","100.0%","2,331","100.0%","38,562","100.0%","9,817","100.0%","6,725","100.0%","42,342","100.0%","136,432","100.0%","56,300","100.0%","5,012","100.0%","142,569","100.0%"
"Under 5 years","1,355","6.9%","81","5.2%","439","5.0%","60","11.5%","1,130","5.5%","151","6.4%","407","5.0%","238","5.3%","537","4.3%","1,153","4.0%","72","4.0%","1,184","6.4%","123","2.5%","2,744","5.5%","474","5.3%","4,445","4.4%","19","8.9%","0","0.0%","0","0.0%","89","4.6%","2,044","6.8%","487","4.4%","148","8.1%","865","5.2%","827","3.3%","482","8.7%","72","2.2%","40","3.8%","81","3.2%","328","7.0%","1,887","7.1%","485","10.3%","647","9.2%","168","6.6%","772","4.7%","7,635","7.5%","29,169","5.7%","14,524","4.8%","1,094","4.0%","196,209","5.9%","295","8.2%","506","6.8%","187","1.5%","4,084","3.4%","2,736","3.9%","3,243","4.5%","2,080","3.3%","608","7.6%","1,088","9.1%","375","5.8%","369","5.7%","669","6.9%","428","6.2%","2,453","5.1%","1,064","6.3%","119","3.7%","4,579","5.0%","1,922","5.2%","473","7.4%","43,972","4.9%","3,666","5.8%","1,182","6.9%","1,616","5.2%","1,206","3.1%","839","8.0%","4,150","6.3%","11,073","6.2%","509","2.6%","31","6.7%","2,666","6.0%","79","2.7%","71","3.0%","1,304","3.4%","243","2.5%","273","4.1%","1,800","4.3%","5,246","3.8%","3,719","6.6%","216","4.3%","8,566","6.0%"
"5 to 9 years","1,581","8.1%","114","7.4%","590","6.8%","56","10.8%","1,366","6.6%","150","6.4%","452","5.5%","277","6.2%","653","5.3%","1,521","5.3%","91","5.0%","1,432","7.7%","114","2.3%","2,954","5.9%","538","6.0%","5,117","5.0%","12","5.6%","2","4.5%","0","0.0%","88","4.5%","2,302","7.7%","504","4.6%","173","9.5%","1,038","6.2%","950","3.8%","574","10.4%","101","3.1%","75","7.2%","65","2.5%","418","8.9%","1,933","7.3%","495","10.5%","608","8.6%","154","6.1%","801","4.8%","8,592","8.5%","37,746","7.4%","18,968","6.2%","1,422","5.2%","214,137","6.4%","345","9.6%","643","8.6%","199","1.6%","4,306","3.6%","3,006","4.2%","3,674","5.1%","2,431","3.9%","723","9.0%","1,148","9.6%","455","7.1%","433","6.7%","820","8.4%","512","7.4%","2,967","6.2%","1,175","6.9%","132","4.1%","5,739","6.2%","2,244","6.1%","557","8.7%","48,896","5.4%","4,246","6.8%","1,264","7.4%","1,720","5.6%","1,410","3.6%","1,089","10.4%","5,049","7.7%","12,384","6.9%","554","2.9%","40","8.6%","3,244","7.3%","121","4.1%","75","3.2%","1,488","3.9%","302","3.1%","270","4.0%","2,052","4.8%","5,944","4.4%","4,361","7.7%","247","4.9%","9,449","6.6%"
"10 to 14 years","1,679","8.6%","142","9.2%","678","7.8%","67","12.9%","1,579","7.7%","162","6.9%","521","6.4%","317","7.1%","712","5.7%","1,686","5.8%","91","5.0%","1,650","8.9%","119","2.4%","2,979","6.0%","576","6.4%","5,458","5.4%","19","8.9%","1","2.3%","0","0.0%","113","5.8%","2,624","8.7%","600","5.4%","205","11.2%","1,069","6.4%","1,033","4.2%","583","10.5%","122","3.7%","59","5.7%","71","2.8%","479","10.2%","2,237","8.4%","514","10.9%","583","8.3%","168","6.6%","937","5.7%","9,156","9.0%","43,487","8.5%","22,028","7.2%","1,694","6.1%","230,186","6.9%","409","11.4%","748","10.0%","293","2.4%","4,705","3.9%","3,250","4.6%","3,931","5.4%","2,771","4.5%","896","11.2%","1,309","10.9%","535","8.3%","561","8.7%","901","9.3%","666","9.6%","3,330","6.9%","1,348","7.9%","153","4.8%","6,276","6.8%","2,529","6.9%","582","9.1%","53,431","5.9%","4,712","7.5%","1,409","8.2%","1,769","5.7%","1,481","3.8%","967","9.2%","5,919","9.0%","13,272","7.4%","667","3.4%","37","8.0%","3,853","8.6%","128","4.3%","94","4.0%","1,687","4.4%","312","3.2%","337","5.0%","2,396","5.7%","6,379","4.7%","4,863","8.6%","273","5.4%","9,734","6.8%"
"15 to 19 years","1,803","9.2%","140","9.0%","484","5.6%","55","10.6%","1,783","8.6%","176","7.5%","480","5.9%","347","7.7%","655","5.3%","1,578","5.5%","101","5.6%","1,769","9.5%","167","3.4%","2,800","5.6%","544","6.0%","11,868","11.7%","15","7.0%","1","2.3%","1","12.5%","145","7.5%","2,416","8.0%","568","5.2%","159","8.7%","1,022","6.1%","1,051","4.2%","465","8.4%","103","3.2%","71","6.8%","59","2.3%","380","8.1%","2,087","7.9%","459","9.7%","466","6.6%","160","6.3%","823","5.0%","7,944","7.8%","39,834","7.8%","21,589","7.1%","1,678","6.1%","232,631","7.0%","365","10.2%","645","8.6%","362","2.9%","4,269","3.5%","3,082","4.4%","3,614","5.0%","2,598","4.2%","806","10.1%","1,057","8.8%","485","7.5%","424","6.6%","847","8.7%","570","8.2%","3,075","6.4%","1,128","6.7%","127","4.0%","5,611","6.1%","2,232","6.1%","528","8.2%","57,625","6.4%","4,381","7.0%","1,358","7.9%","1,753","5.7%","1,450","3.7%","963","9.2%","4,983","7.6%","11,646","6.5%","695","3.6%","48","10.3%","3,554","8.0%","107","3.6%","78","3.3%","1,634","4.2%","310","3.2%","284","4.2%","2,104","5.0%","7,320","5.4%","4,906","8.7%","240","4.8%","9,750","6.8%"
"20 to 24 years","1,502","7.7%","100","6.5%","333","3.8%","41","7.9%","1,219","5.9%","131","5.6%","291","3.6%","278","6.2%","425","3.4%","996","3.4%","61","3.4%","1,150","6.2%","285","5.8%","3,433","6.9%","395","4.4%","16,021","15.7%","18","8.4%","3","6.8%","1","12.5%","137","7.1%","1,886","6.3%","566","5.1%","98","5.4%","924","5.5%","733","2.9%","375","6.8%","48","1.5%","54","5.2%","142","5.6%","260","5.6%","1,985","7.5%","328","6.9%","437","6.2%","136","5.4%","652","3.9%","6,196","6.1%","29,126","5.7%","15,705","5.1%","1,286","4.7%","250,030","7.5%","293","8.2%","426","5.7%","323","2.6%","3,193","2.6%","2,842","4.0%","3,030","4.2%","2,375","3.8%","534","6.7%","843","7.0%","399","6.2%","356","5.5%","609","6.3%","465","6.7%","1,963","4.1%","1,035","6.1%","143","4.5%","4,138","4.5%","1,604","4.4%","419","6.5%","66,291","7.3%","3,402","5.4%","1,027","6.0%","2,111","6.8%","2,205","5.7%","800","7.6%","3,281","5.0%","8,657","4.8%","515","2.7%","38","8.2%","2,400","5.4%","69","2.3%","71","3.0%","1,266","3.3%","238","2.4%","222","3.3%","1,663","3.9%","7,053","5.2%","4,065","7.2%","250","5.0%","9,312","6.5%"
"25 to 29 years","1,303","6.6%","103","6.6%","316","3.6%","36","6.9%","1,261","6.1%","166","7.1%","329","4.0%","294","6.5%","492","4.0%","1,063","3.7%","75","4.1%","1,142","6.2%","451","9.2%","3,611","7.3%","506","5.6%","7,269","7.1%","21","9.8%","3","6.8%","0","0.0%","113","5.8%","2,082","6.9%","623","5.7%","143","7.8%","948","5.7%","833","3.3%","444","8.0%","71","2.2%","49","4.7%","285","11.2%","239","5.1%","1,747","6.6%","362","7.7%","538","7.6%","115","4.5%","693","4.2%","6,688","6.6%","27,728","5.4%","14,106","4.6%","1,517","5.5%","256,870","7.7%","279","7.8%","535","7.1%","253","2.0%","3,443","2.9%","3,265","4.6%","3,470","4.8%","2,476","4.0%","448","5.6%","966","8.1%","393","6.1%","361","5.6%","570","5.9%","437","6.3%","1,983","4.1%","1,280","7.5%","161","5.0%","4,129","4.5%","1,970","5.4%","439","6.8%","61,437","6.8%","3,504","5.6%","975","5.7%","2,416","7.8%","3,311","8.6%","822","7.8%","3,480","5.3%","9,637","5.4%","471","2.4%","25","5.4%","2,462","5.5%","85","2.9%","62","2.7%","1,447","3.8%","291","3.0%","273","4.1%","1,706","4.0%","6,176","4.5%","4,344","7.7%","214","4.3%","8,947","6.3%"
"30 to 34 years","1,275","6.5%","85","5.5%","419","4.8%","34","6.5%","1,305","6.3%","192","8.2%","364","4.5%","260","5.8%","541","4.3%","1,284","4.4%","88","4.8%","1,050","5.7%","488","9.9%","3,346","6.7%","474","5.3%","6,431","6.3%","21","9.8%","3","6.8%","1","12.5%","129","6.7%","2,128","7.1%","668","6.1%","129","7.1%","933","5.6%","922","3.7%","422","7.6%","86","2.6%","52","5.0%","345","13.5%","258","5.5%","1,618","6.1%","351","7.4%","556","7.9%","121","4.8%","677","4.1%","7,149","7.1%","31,216","6.1%","15,589","5.1%","1,845","6.7%","240,038","7.2%","261","7.3%","487","6.5%","208","1.7%","3,920","3.3%","3,421","4.8%","3,593","5.0%","2,703","4.3%","395","4.9%","918","7.7%","395","6.1%","409","6.3%","623","6.4%","427","6.2%","2,260","4.7%","1,329","7.8%","156","4.9%","4,795","5.2%","2,187","6.0%","436","6.8%","58,158","6.4%","3,536","5.6%","978","5.7%","2,305","7.5%","3,677","9.5%","784","7.5%","4,176","6.4%","10,831","6.0%","488","2.5%","23","4.9%","2,458","5.5%","95","3.2%","103","4.4%","1,523","3.9%","325","3.3%","266","4.0%","1,987","4.7%","6,073","4.5%","4,387","7.8%","204","4.1%","8,716","6.1%"
"35 to 39 years","1,159","5.9%","93","6.0%","430","4.9%","36","6.9%","1,229","6.0%","128","5.4%","457","5.6%","216","4.8%","568","4.6%","1,559","5.4%","75","4.1%","996","5.4%","498","10.1%","2,981","6.0%","455","5.0%","5,879","5.8%","8","3.7%","0","0.0%","0","0.0%","104","5.4%","1,798","6.0%","660","6.0%","124","6.8%","826","4.9%","937","3.8%","363","6.6%","109","3.3%","38","3.6%","321","12.6%","275","5.9%","1,552","5.8%","310","6.6%","547","7.8%","139","5.5%","697","4.2%","6,953","6.9%","36,373","7.1%","18,792","6.2%","2,086","7.6%","221,433","6.6%","221","6.2%","486","6.5%","280","2.3%","4,324","3.6%","3,367","4.8%","3,393","4.7%","2,559","4.1%","362","4.5%","781","6.5%","378","5.9%","338","5.2%","539","5.5%","342","4.9%","2,413","5.0%","1,097","6.5%","146","4.6%","5,175","5.6%","2,254","6.1%","366","5.7%","54,419","6.0%","3,535","5.6%","971","5.7%","2,193","7.1%","3,560","9.2%","710","6.8%","4,596","7.0%","10,982","6.1%","578","3.0%","36","7.7%","2,277","5.1%","118","4.0%","111","4.8%","1,659","4.3%","296","3.0%","328","4.9%","1,964","4.6%","5,951","4.4%","3,935","7.0%","204","4.1%","8,103","5.7%"
