"Label (Grouping)","Central Kent CCD, Kent County, Delaware!!Count","Central Kent CCD, Kent County, Delaware!!Percent","Dover CCD, Kent County, Delaware!!Count","Dover CCD, Kent County, Delaware!!Percent","Felton CCD, Kent County, Delaware!!Count","Felton CCD, Kent County, Delaware!!Percent","Harrington CCD, Kent County, Delaware!!Count","Harrington CCD, Kent County, Delaware!!Percent","Kenton CCD, Kent County, Delaware!!Count","Kenton CCD, Kent County, Delaware!!Percent","Milford North CCD, Kent County, Delaware!!Count","Milford North CCD, Kent County, Delaware!!Percent","Smyrna CCD, Kent County, Delaware!!Count","Smyrna CCD, Kent County, Delaware!!Percent","Brandywine CCD, New Castle County, Delaware!!Count","Brandywine CCD, New Castle County, Delaware!!Percent","Glasgow CCD, New Castle County, Delaware!!Count","Glasgow CCD, New Castle County, Delaware!!Percent","Lower Christiana CCD, New Castle County, Delaware!!Count","Lower Christiana CCD, New Castle County, Delaware!!Percent","Middletown-Odessa CCD, New Castle County, Delaware!!Count","Middletown-Odessa CCD, New Castle County, Delaware!!Percent","Newark CCD, New Castle County, Delaware!!Count","Newark CCD, New Castle County, Delaware!!Percent","New Castle CCD, New Castle County, Delaware!!Count","New Castle CCD, New Castle County, Delaware!!Percent","Piedmont CCD, New Castle County, Delaware!!Count","Piedmont CCD, New Castle County, Delaware!!Percent","Pike Creek-Central Kirkwood CCD, New Castle County, Delaware!!Count","Pike Creek-Central Kirkwood CCD, New Castle County, Delaware!!Percent","Red Lion CCD, New Castle County, Delaware!!Count","Red Lion CCD, New Castle County, Delaware!!Percent","Upper Christiana CCD, New Castle County, Delaware!!Count","Upper Christiana CCD, New Castle County, Delaware!!Percent","Wilmington CCD, New Castle County, Delaware!!Count","Wilmington CCD, New Castle County, Delaware!!Percent","Bridgeville-Greenwood CCD, Sussex County, Delaware!!Count","Bridgeville-Greenwood CCD, Sussex County, Delaware!!Percent","Georgetown CCD, Sussex County, Delaware!!Count","Georgetown CCD, Sussex County, Delaware!!Percent","Laurel-Delmar CCD, Sussex County, Delaware!!Count","Laurel-Delmar CCD, Sussex County, Delaware!!Percent","Lewes CCD, Sussex County, Delaware!!Count","Lewes CCD, Sussex County, Delaware!!Percent","Milford South CCD, Sussex County, Delaware!!Count","Milford South CCD, Sussex County, Delaware!!Percent","Millsboro CCD, Sussex County, Delaware!!Count","Millsboro CCD, Sussex County, Delaware!!Percent","Milton CCD, Sussex County, Delaware!!Count","Milton CCD, Sussex County, Delaware!!Percent","Seaford CCD, Sussex County, Delaware!!Count","Seaford CCD, Sussex County, Delaware!!Percent","Selbyville-Frankford CCD, Sussex County, Delaware!!Count","Selbyville-Frankford CCD, Sussex County, Delaware!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total population","29,972","100.0%","82,453","100.0%","7,619","100.0%","13,092","100.0%","7,315","100.0%","11,818","100.0%","29,582","100.0%","81,197","100.0%","42,405","100.0%","37,107","100.0%","68,675","100.0%","67,705","100.0%","90,459","100.0%","30,968","100.0%","42,789","100.0%","10,045","100.0%","28,471","100.0%","70,898","100.0%","13,072","100.0%","16,337","100.0%","25,153","100.0%","38,035","100.0%","23,790","100.0%","33,697","100.0%","21,633","100.0%","26,748","100.0%","38,913","100.0%"
"Under 5 years","1,693","5.6%","5,050","6.1%","430","5.6%","727","5.6%","390","5.3%","742","6.3%","1,730","5.8%","4,100","5.0%","2,196","5.2%","2,046","5.5%","3,582","5.2%","3,044","4.5%","5,143","5.7%","1,091","3.5%","1,956","4.6%","424","4.2%","1,851","6.5%","4,252","6.0%","734","5.6%","974","6.0%","1,631","6.5%","1,037","2.7%","1,296","5.4%","1,472","4.4%","906","4.2%","1,603","6.0%","1,130","2.9%"
"5 to 9 years","2,029","6.8%","5,153","6.2%","481","6.3%","803","6.1%","454","6.2%","733","6.2%","2,057","7.0%","4,351","5.4%","2,479","5.8%","2,271","6.1%","4,745","6.9%","3,113","4.6%","5,405","6.0%","1,551","5.0%","2,307","5.4%","583","5.8%","1,711","6.0%","4,681","6.6%","902","6.9%","1,117","6.8%","1,699","6.8%","1,196","3.1%","1,513","6.4%","1,658","4.9%","880","4.1%","1,696","6.3%","1,352","3.5%"
"10 to 14 years","2,177","7.3%","5,221","6.3%","471","6.2%","844","6.4%","500","6.8%","772","6.5%","2,298","7.8%","4,706","5.8%","2,898","6.8%","2,374","6.4%","5,380","7.8%","3,170","4.7%","5,990","6.6%","1,994","6.4%","2,528","5.9%","689","6.9%","1,631","5.7%","4,729","6.7%","914","7.0%","1,214","7.4%","1,859","7.4%","1,317","3.5%","1,614","6.8%","1,757","5.2%","1,016","4.7%","1,782","6.7%","1,479","3.8%"
"15 to 19 years","2,035","6.8%","6,068","7.4%","463","6.1%","757","5.8%","548","7.5%","744","6.3%","2,031","6.9%","4,487","5.5%","3,013","7.1%","2,357","6.4%","5,280","7.7%","5,419","8.0%","5,828","6.4%","2,051","6.6%","2,565","6.0%","751","7.5%","1,425","5.0%","4,458","6.3%","825","6.3%","1,173","7.2%","1,637","6.5%","1,354","3.6%","1,542","6.5%","1,653","4.9%","929","4.3%","1,707","6.4%","1,559","4.0%"
"20 to 24 years","1,658","5.5%","7,527","9.1%","403","5.3%","757","5.8%","359","4.9%","651","5.5%","1,570","5.3%","4,002","4.9%","2,709","6.4%","2,197","5.9%","4,135","6.0%","12,261","18.1%","5,831","6.4%","1,541","5.0%","2,420","5.7%","689","6.9%","1,802","6.3%","4,333","6.1%","620","4.7%","1,178","7.2%","1,359","5.4%","1,179","3.1%","1,240","5.2%","1,404","4.2%","811","3.7%","1,471","5.5%","1,368","3.5%"
"25 to 29 years","1,576","5.3%","5,631","6.8%","450","5.9%","722","5.5%","367","5.0%","781","6.6%","1,710","5.8%","4,664","5.7%","2,685","6.3%","2,731","7.4%","3,376","4.9%","5,427","8.0%","6,582","7.3%","1,031","3.3%","2,574","6.0%","503","5.0%","2,550","9.0%","6,074","8.6%","699","5.3%","1,156","7.1%","1,447","5.8%","1,170","3.1%","1,283","5.4%","1,583","4.7%","895","4.1%","1,445","5.4%","1,319","3.4%"
"30 to 34 years","1,881","6.3%","5,180","6.3%","484","6.4%","839","6.4%","422","5.8%","800","6.8%","1,880","6.4%","5,431","6.7%","2,713","6.4%","2,820","7.6%","4,059","5.9%","4,257","6.3%","6,542","7.2%","1,158","3.7%","2,881","6.7%","481","4.8%","2,546","8.9%","5,867","8.3%","812","6.2%","1,195","7.3%","1,559","6.2%","1,278","3.4%","1,476","6.2%","1,678","5.0%","1,054","4.9%","1,547","5.8%","1,394","3.6%"
"35 to 39 years","1,846","6.2%","4,824","5.9%","437","5.7%","739","5.6%","443","6.1%","718","6.1%","1,985","6.7%","5,287","6.5%","2,813","6.6%","2,731","7.4%","4,634","6.7%","3,580","5.3%","6,039","6.7%","1,481","4.8%","2,771","6.5%","537","5.3%","2,467","8.7%","5,050","7.1%","792","6.1%","1,241","7.6%","1,567","6.2%","1,523","4.0%","1,440","6.1%","1,633","4.8%","1,072","5.0%","1,607","6.0%","1,426","3.7%"
