"Label (Grouping)","Washington city, District of Columbia, District of Columbia!!Count","Washington city, District of Columbia, District of Columbia!!Percent"
"SEX AND AGE","",""
"Total population","689,545","100.0%"
"Under 5 years","37,068","5.4%"
"5 to 9 years","33,308","4.8%"
"10 to 14 years","28,928","4.2%"
"15 to 19 years","33,747","4.9%"
"20 to 24 years","64,439","9.3%"
"25 to 29 years","83,277","12.1%"
"30 to 34 years","79,300","11.5%"
"35 to 39 years","61,493","8.9%"
"40 to 44 years","43,522","6.3%"
"45 to 49 years","35,495","5.1%"
"50 to 54 years","34,012","4.9%"
"55 to 59 years","35,275","5.1%"
"60 to 64 years","32,905","4.8%"
"65 to 69 years","28,415","4.1%"
"70 to 74 years","22,791","3.3%"
"75 to 79 years","15,384","2.2%"
"80 to 84 years","9,701","1.4%"
"85 years and over","10,485","1.5%"
"Selected Age Categories","",""
"16 years and over","585,074","84.8%"
"18 years and over","575,161","83.4%"
"21 years and over","543,716","78.9%"
"62 years and over","105,954","15.4%"
"65 years and over","86,776","12.6%"
"Male population","322,777","100.0%"
"Male population Under 5 years","18,908","5.9%"
"Male population 5 to 9 years","17,025","5.3%"
"Male population 10 to 14 years","14,619","4.5%"
"Male population 15 to 19 years","15,867","4.9%"
"Male population 20 to 24 years","26,900","8.3%"
"Male population 25 to 29 years","37,487","11.6%"
"Male population 30 to 34 years","37,510","11.6%"
"Male population 35 to 39 years","29,749","9.2%"
"Male population 40 to 44 years","21,272","6.6%"
"Male population 45 to 49 years","17,434","5.4%"
"Male population 50 to 54 years","16,736","5.2%"
"Male population 55 to 59 years","17,336","5.4%"
"Male population 60 to 64 years","15,584","4.8%"
"Male population 65 to 69 years","12,791","4.0%"
"Male population 70 to 74 years","9,676","3.0%"
"Male population 75 to 79 years","6,452","2.0%"
"Male population 80 to 84 years","3,820","1.2%"
"Male population 85 years and over","3,611","1.1%"
"Selected Age Categories","",""
"16 years and over","269,628","83.5%"
"18 years and over","264,627","82.0%"
"21 years and over","251,111","77.8%"
"62 years and over","45,321","14.0%"
"65 years and over","36,350","11.3%"
"Female population","366,768","100.0%"
"Female population Under 5 years","18,160","5.0%"
"Female population 5 to 9 years","16,283","4.4%"
"Female population 10 to 14 years","14,309","3.9%"
"Female population 15 to 19 years","17,880","4.9%"
"Female population 20 to 24 years","37,539","10.2%"
"Female population 25 to 29 years","45,790","12.5%"
"Female population 30 to 34 years","41,790","11.4%"
"Female population 35 to 39 years","31,744","8.7%"
"Female population 40 to 44 years","22,250","6.1%"
"Female population 45 to 49 years","18,061","4.9%"
"Female population 50 to 54 years","17,276","4.7%"
"Female population 55 to 59 years","17,939","4.9%"
"Female population 60 to 64 years","17,321","4.7%"
"Female population 65 to 69 years","15,624","4.3%"
"Female population 70 to 74 years","13,115","3.6%"
"Female population 75 to 79 years","8,932","2.4%"
"Female population 80 to 84 years","5,881","1.6%"
"Female population 85 years and over","6,874","1.9%"
"Selected Age Categories","",""
"16 years and over","315,446","86.0%"
"18 years and over","310,534","84.7%"
"21 years and over","292,605","79.8%"
"62 years and over","60,633","16.5%"
"65 years and over","50,426","13.7%"
"MEDIAN AGE BY SEX","",""
"Both sexes","33.9","(X)"
"Male","34.0","(X)"
"Female","33.9","(X)"
"RACE","",""
"Total population","689,545","100.0%"
"One Race","633,468","91.9%"
"One Race White","273,194","39.6%"
"One Race Black or African American","285,810","41.4%"
"One Race American Indian and Alaska Native","3,193","0.5%"
"One Race Asian","33,545","4.9%"
"One Race Native Hawaiian and Other Pacific Islander","432","0.1%"
"One Race Some Other Race","37,294","5.4%"
"Two or More Races","56,077","8.1%"
