"Label (Grouping)","Hilo CCD, Hawaii County, Hawaii!!Count","Hilo CCD, Hawaii County, Hawaii!!Percent","Honokaa-Kukuihaele CCD, Hawaii County, Hawaii!!Count","Honokaa-Kukuihaele CCD, Hawaii County, Hawaii!!Percent","Kau CCD, Hawaii County, Hawaii!!Count","Kau CCD, Hawaii County, Hawaii!!Percent","Keaau-Mountain View CCD, Hawaii County, Hawaii!!Count","Keaau-Mountain View CCD, Hawaii County, Hawaii!!Percent","North Hilo CCD, Hawaii County, Hawaii!!Count","North Hilo CCD, Hawaii County, Hawaii!!Percent","North Kohala CCD, Hawaii County, Hawaii!!Count","North Kohala CCD, Hawaii County, Hawaii!!Percent","North Kona CCD, Hawaii County, Hawaii!!Count","North Kona CCD, Hawaii County, Hawaii!!Percent","Paauhau-Paauilo CCD, Hawaii County, Hawaii!!Count","Paauhau-Paauilo CCD, Hawaii County, Hawaii!!Percent","Pahoa-Kalapana CCD, Hawaii County, Hawaii!!Count","Pahoa-Kalapana CCD, Hawaii County, Hawaii!!Percent","Papaikou-Wailea CCD, Hawaii County, Hawaii!!Count","Papaikou-Wailea CCD, Hawaii County, Hawaii!!Percent","South Kohala CCD, Hawaii County, Hawaii!!Count","South Kohala CCD, Hawaii County, Hawaii!!Percent","South Kona CCD, Hawaii County, Hawaii!!Count","South Kona CCD, Hawaii County, Hawaii!!Percent","Ewa CCD, Honolulu County, Hawaii!!Count","Ewa CCD, Honolulu County, Hawaii!!Percent","Honolulu CCD, Honolulu County, Hawaii!!Count","Honolulu CCD, Honolulu County, Hawaii!!Percent","Koolauloa CCD, Honolulu County, Hawaii!!Count","Koolauloa CCD, Honolulu County, Hawaii!!Percent","Koolaupoko CCD, Honolulu County, Hawaii!!Count","Koolaupoko CCD, Honolulu County, Hawaii!!Percent","Wahiawa CCD, Honolulu County, Hawaii!!Count","Wahiawa CCD, Honolulu County, Hawaii!!Percent","Waialua CCD, Honolulu County, Hawaii!!Count","Waialua CCD, Honolulu County, Hawaii!!Percent","Waianae CCD, Honolulu County, Hawaii!!Count","Waianae CCD, Honolulu County, Hawaii!!Percent","Kalawao CCD, Kalawao County, Hawaii!!Count","Kalawao CCD, Kalawao County, Hawaii!!Percent","Eleele-Kalaheo CCD, Kauai County, Hawaii!!Count","Eleele-Kalaheo CCD, Kauai County, Hawaii!!Percent","Hanalei CCD, Kauai County, Hawaii!!Count","Hanalei CCD, Kauai County, Hawaii!!Percent","Kapaa CCD, Kauai County, Hawaii!!Count","Kapaa CCD, Kauai County, Hawaii!!Percent","Kaumakani-Hanapepe CCD, Kauai County, Hawaii!!Count","Kaumakani-Hanapepe CCD, Kauai County, Hawaii!!Percent","Kekaha-Waimea CCD, Kauai County, Hawaii!!Count","Kekaha-Waimea CCD, Kauai County, Hawaii!!Percent","Koloa-Poipu CCD, Kauai County, Hawaii!!Count","Koloa-Poipu CCD, Kauai County, Hawaii!!Percent","Lihue CCD, Kauai County, Hawaii!!Count","Lihue CCD, Kauai County, Hawaii!!Percent","Niihau CCD, Kauai County, Hawaii!!Count","Niihau CCD, Kauai County, Hawaii!!Percent","Puhi-Hanamaulu CCD, Kauai County, Hawaii!!Count","Puhi-Hanamaulu CCD, Kauai County, Hawaii!!Percent","Wailua-Anahola CCD, Kauai County, Hawaii!!Count","Wailua-Anahola CCD, Kauai County, Hawaii!!Percent","East Molokai CCD, Maui County, Hawaii!!Count","East Molokai CCD, Maui County, Hawaii!!Percent","Haiku-Pauwela CCD, Maui County, Hawaii!!Count","Haiku-Pauwela CCD, Maui County, Hawaii!!Percent","Hana CCD, Maui County, Hawaii!!Count","Hana CCD, Maui County, Hawaii!!Percent","Kahului CCD, Maui County, Hawaii!!Count","Kahului CCD, Maui County, Hawaii!!Percent","Kihei CCD, Maui County, Hawaii!!Count","Kihei CCD, Maui County, Hawaii!!Percent","Kula CCD, Maui County, Hawaii!!Count","Kula CCD, Maui County, Hawaii!!Percent","Lahaina CCD, Maui County, Hawaii!!Count","Lahaina CCD, Maui County, Hawaii!!Percent","Lanai CCD, Maui County, Hawaii!!Count","Lanai CCD, Maui County, Hawaii!!Percent","Makawao-Paia CCD, Maui County, Hawaii!!Count","Makawao-Paia CCD, Maui County, Hawaii!!Percent","Puunene CCD, Maui County, Hawaii!!Count","Puunene CCD, Maui County, Hawaii!!Percent","Spreckelsville CCD, Maui County, Hawaii!!Count","Spreckelsville CCD, Maui County, Hawaii!!Percent","Waihee-Waikapu CCD, Maui County, Hawaii!!Count","Waihee-Waikapu CCD, Maui County, Hawaii!!Percent","Wailuku CCD, Maui County, Hawaii!!Count","Wailuku CCD, Maui County, Hawaii!!Percent","West Molokai CCD, Maui County, Hawaii!!Count","West Molokai CCD, Maui County, Hawaii!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total population","46,118","100.0%","4,212","100.0%","8,979","100.0%","41,210","100.0%","2,114","100.0%","6,979","100.0%","43,313","100.0%","2,678","100.0%","10,494","100.0%","5,433","100.0%","19,310","100.0%","9,789","100.0%","360,841","100.0%","405,295","100.0%","21,899","100.0%","121,275","100.0%","41,667","100.0%","13,566","100.0%","51,965","100.0%","82","100.0%","9,019","100.0%","8,107","100.0%","8,970","100.0%","3,769","100.0%","5,971","100.0%","6,474","100.0%","6,455","100.0%","84","100.0%","10,482","100.0%","13,967","100.0%","4,441","100.0%","10,656","100.0%","2,719","100.0%","28,152","100.0%","24,136","100.0%","12,864","100.0%","23,167","100.0%","3,367","100.0%","20,917","100.0%","11","100.0%","649","100.0%","7,413","100.0%","23,416","100.0%","2,846","100.0%"
"Under 5 years","2,250","4.9%","239","5.7%","415","4.6%","2,102","5.1%","91","4.3%","345","4.9%","2,260","5.2%","145","5.4%","466","4.4%","286","5.3%","1,045","5.4%","441","4.5%","20,813","5.8%","18,129","4.5%","1,333","6.1%","6,468","5.3%","3,464","8.3%","946","7.0%","3,624","7.0%","2","2.4%","426","4.7%","364","4.5%","488","5.4%","211","5.6%","350","5.9%","358","5.5%","346","5.4%","3","3.6%","560","5.3%","697","5.0%","268","6.0%","525","4.9%","144","5.3%","1,562","5.5%","1,085","4.5%","540","4.2%","1,214","5.2%","206","6.1%","1,110","5.3%","2","18.2%","35","5.4%","411","5.5%","1,364","5.8%","219","7.7%"
"5 to 9 years","2,722","5.9%","239","5.7%","532","5.9%","2,553","6.2%","99","4.7%","353","5.1%","2,496","5.8%","135","5.0%","642","6.1%","311","5.7%","1,283","6.6%","531","5.4%","22,443","6.2%","19,325","4.8%","1,559","7.1%","6,745","5.6%","2,789","6.7%","807","5.9%","3,954","7.6%","1","1.2%","564","6.3%","465","5.7%","590","6.6%","225","6.0%","369","6.2%","375","5.8%","378","5.9%","12","14.3%","647","6.2%","814","5.8%","287","6.5%","571","5.4%","191","7.0%","1,881","6.7%","1,152","4.8%","655","5.1%","1,337","5.8%","231","6.9%","1,270","6.1%","0","0.0%","41","6.3%","541","7.3%","1,420","6.1%","232","8.2%"
"10 to 14 years","2,927","6.3%","269","6.4%","593","6.6%","2,847","6.9%","145","6.9%","425","6.1%","2,565","5.9%","167","6.2%","653","6.2%","310","5.7%","1,273","6.6%","554","5.7%","23,413","6.5%","19,826","4.9%","1,676","7.7%","6,930","5.7%","2,338","5.6%","837","6.2%","4,301","8.3%","2","2.4%","611","6.8%","472","5.8%","598","6.7%","248","6.6%","396","6.6%","402","6.2%","375","5.8%","7","8.3%","769","7.3%","844","6.0%","352","7.9%","627","5.9%","200","7.4%","2,050","7.3%","1,228","5.1%","634","4.9%","1,350","5.8%","250","7.4%","1,369","6.5%","1","9.1%","31","4.8%","582","7.9%","1,611","6.9%","218","7.7%"
"15 to 19 years","2,633","5.7%","238","5.7%","511","5.7%","2,582","6.3%","115","5.4%","377","5.4%","2,273","5.2%","152","5.7%","551","5.3%","305","5.6%","1,163","6.0%","499","5.1%","22,315","6.2%","20,556","5.1%","1,594","7.3%","6,800","5.6%","2,486","6.0%","730","5.4%","3,991","7.7%","6","7.3%","522","5.8%","388","4.8%","593","6.6%","237","6.3%","363","6.1%","347","5.4%","353","5.5%","11","13.1%","683","6.5%","809","5.8%","241","5.4%","495","4.6%","174","6.4%","1,933","6.9%","1,172","4.9%","550","4.3%","1,292","5.6%","203","6.0%","1,204","5.8%","1","9.1%","42","6.5%","529","7.1%","1,396","6.0%","225","7.9%"
"20 to 24 years","2,806","6.1%","218","5.2%","355","4.0%","1,914","4.6%","76","3.6%","300","4.3%","1,987","4.6%","117","4.4%","420","4.0%","253","4.7%","773","4.0%","378","3.9%","24,020","6.7%","24,327","6.0%","2,178","9.9%","9,563","7.9%","7,299","17.5%","1,271","9.4%","3,219","6.2%","2","2.4%","391","4.3%","335","4.1%","439","4.9%","190","5.0%","282","4.7%","249","3.8%","300","4.6%","6","7.1%","555","5.3%","621","4.4%","190","4.3%","528","5.0%","145","5.3%","1,619","5.8%","1,184","4.9%","411","3.2%","1,199","5.2%","135","4.0%","910","4.4%","1","9.1%","41","6.3%","359","4.8%","1,189","5.1%","130","4.6%"
"25 to 29 years","2,614","5.7%","195","4.6%","350","3.9%","2,029","4.9%","99","4.7%","295","4.2%","2,250","5.2%","141","5.3%","450","4.3%","254","4.7%","888","4.6%","443","4.5%","25,898","7.2%","27,168","6.7%","1,805","8.2%","8,468","7.0%","4,895","11.7%","1,136","8.4%","3,319","6.4%","4","4.9%","469","5.2%","407","5.0%","501","5.6%","227","6.0%","333","5.6%","326","5.0%","348","5.4%","9","10.7%","576","5.5%","706","5.1%","185","4.2%","589","5.5%","172","6.3%","1,721","6.1%","1,365","5.7%","463","3.6%","1,398","6.0%","186","5.5%","1,125","5.4%","1","9.1%","37","5.7%","354","4.8%","1,291","5.5%","135","4.7%"
"30 to 34 years","2,790","6.0%","260","6.2%","381","4.2%","2,317","5.6%","111","5.3%","344","4.9%","2,651","6.1%","140","5.2%","564","5.4%","314","5.8%","1,157","6.0%","506","5.2%","24,564","6.8%","27,823","6.9%","1,352","6.2%","7,773","6.4%","3,285","7.9%","1,032","7.6%","3,477","6.7%","4","4.9%","443","4.9%","435","5.4%","568","6.3%","263","7.0%","403","6.7%","364","5.6%","352","5.5%","9","10.7%","659","6.3%","818","5.9%","236","5.3%","778","7.3%","158","5.8%","1,697","6.0%","1,634","6.8%","624","4.9%","1,537","6.6%","199","5.9%","1,365","6.5%","0","0.0%","33","5.1%","488","6.6%","1,441","6.2%","148","5.2%"
"35 to 39 years","2,778","6.0%","225","5.3%","484","5.4%","2,839","6.9%","106","5.0%","424","6.1%","2,780","6.4%","126","4.7%","638","6.1%","313","5.8%","1,301","6.7%","580","5.9%","23,703","6.6%","26,894","6.6%","1,418","6.5%","7,830","6.5%","2,463","5.9%","1,072","7.9%","3,570","6.9%","5","6.1%","580","6.4%","533","6.6%","674","7.5%","232","6.2%","399","6.7%","400","6.2%","363","5.6%","0","0.0%","677","6.5%","921","6.6%","243","5.5%","820","7.7%","130","4.8%","1,829","6.5%","1,709","7.1%","801","6.2%","1,643","7.1%","242","7.2%","1,487","7.1%","1","9.1%","44","6.8%","521","7.0%","1,570","6.7%","163","5.7%"
