"Label (Grouping)","Barrington town, Bristol County, Rhode Island!!Count","Barrington town, Bristol County, Rhode Island!!Percent","Bristol town, Bristol County, Rhode Island!!Count","Bristol town, Bristol County, Rhode Island!!Percent","Warren town, Bristol County, Rhode Island!!Count","Warren town, Bristol County, Rhode Island!!Percent","Coventry town, Kent County, Rhode Island!!Count","Coventry town, Kent County, Rhode Island!!Percent","East Greenwich town, Kent County, Rhode Island!!Count","East Greenwich town, Kent County, Rhode Island!!Percent","Warwick city, Kent County, Rhode Island!!Count","Warwick city, Kent County, Rhode Island!!Percent","West Greenwich town, Kent County, Rhode Island!!Count","West Greenwich town, Kent County, Rhode Island!!Percent","West Warwick town, Kent County, Rhode Island!!Count","West Warwick town, Kent County, Rhode Island!!Percent","County subdivisions not defined, Newport County, Rhode Island!!Count","County subdivisions not defined, Newport County, Rhode Island!!Percent","Jamestown town, Newport County, Rhode Island!!Count","Jamestown town, Newport County, Rhode Island!!Percent","Little Compton town, Newport County, Rhode Island!!Count","Little Compton town, Newport County, Rhode Island!!Percent","Middletown town, Newport County, Rhode Island!!Count","Middletown town, Newport County, Rhode Island!!Percent","Newport city, Newport County, Rhode Island!!Count","Newport city, Newport County, Rhode Island!!Percent","Portsmouth town, Newport County, Rhode Island!!Count","Portsmouth town, Newport County, Rhode Island!!Percent","Tiverton town, Newport County, Rhode Island!!Count","Tiverton town, Newport County, Rhode Island!!Percent","Burrillville town, Providence County, Rhode Island!!Count","Burrillville town, Providence County, Rhode Island!!Percent","Central Falls city, Providence County, Rhode Island!!Count","Central Falls city, Providence County, Rhode Island!!Percent","Cranston city, Providence County, Rhode Island!!Count","Cranston city, Providence County, Rhode Island!!Percent","Cumberland town, Providence County, Rhode Island!!Count","Cumberland town, Providence County, Rhode Island!!Percent","East Providence city, Providence County, Rhode Island!!Count","East Providence city, Providence County, Rhode Island!!Percent","Foster town, Providence County, Rhode Island!!Count","Foster town, Providence County, Rhode Island!!Percent","Glocester town, Providence County, Rhode Island!!Count","Glocester town, Providence County, Rhode Island!!Percent","Johnston town, Providence County, Rhode Island!!Count","Johnston town, Providence County, Rhode Island!!Percent","Lincoln town, Providence County, Rhode Island!!Count","Lincoln town, Providence County, Rhode Island!!Percent","North Providence town, Providence County, Rhode Island!!Count","North Providence town, Providence County, Rhode Island!!Percent","North Smithfield town, Providence County, Rhode Island!!Count","North Smithfield town, Providence County, Rhode Island!!Percent","Pawtucket city, Providence County, Rhode Island!!Count","Pawtucket city, Providence County, Rhode Island!!Percent","Providence city, Providence County, Rhode Island!!Count","Providence city, Providence County, Rhode Island!!Percent","Scituate town, Providence County, Rhode Island!!Count","Scituate town, Providence County, Rhode Island!!Percent","Smithfield town, Providence County, Rhode Island!!Count","Smithfield town, Providence County, Rhode Island!!Percent","Woonsocket city, Providence County, Rhode Island!!Count","Woonsocket city, Providence County, Rhode Island!!Percent","Charlestown town, Washington County, Rhode Island!!Count","Charlestown town, Washington County, Rhode Island!!Percent","Exeter town, Washington County, Rhode Island!!Count","Exeter town, Washington County, Rhode Island!!Percent","Hopkinton town, Washington County, Rhode Island!!Count","Hopkinton town, Washington County, Rhode Island!!Percent","Narragansett town, Washington County, Rhode Island!!Count","Narragansett town, Washington County, Rhode Island!!Percent","New Shoreham town, Washington County, Rhode Island!!Count","New Shoreham town, Washington County, Rhode Island!!Percent","North Kingstown town, Washington County, Rhode Island!!Count","North Kingstown town, Washington County, Rhode Island!!Percent","Richmond town, Washington County, Rhode Island!!Count","Richmond town, Washington County, Rhode Island!!Percent","South Kingstown town, Washington County, Rhode Island!!Count","South Kingstown town, Washington County, Rhode Island!!Percent","Westerly town, Washington County, Rhode Island!!Count","Westerly town, Washington County, Rhode Island!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total population","17,153","100.0%","22,493","100.0%","11,147","100.0%","35,688","100.0%","14,312","100.0%","82,823","100.0%","6,528","100.0%","31,012","100.0%","0","-","5,559","100.0%","3,616","100.0%","17,075","100.0%","25,163","100.0%","17,871","100.0%","16,359","100.0%","16,158","100.0%","22,583","100.0%","82,934","100.0%","36,405","100.0%","47,139","100.0%","4,469","100.0%","9,974","100.0%","29,568","100.0%","22,529","100.0%","34,114","100.0%","12,588","100.0%","75,604","100.0%","190,934","100.0%","10,384","100.0%","22,118","100.0%","43,240","100.0%","7,997","100.0%","6,460","100.0%","8,398","100.0%","14,532","100.0%","1,410","100.0%","27,732","100.0%","8,020","100.0%","31,931","100.0%","23,359","100.0%"
"Under 5 years","816","4.8%","638","2.8%","417","3.7%","1,585","4.4%","652","4.6%","3,668","4.4%","253","3.9%","1,568","5.1%","0","-","152","2.7%","128","3.5%","885","5.2%","1,046","4.2%","788","4.4%","617","3.8%","709","4.4%","1,610","7.1%","3,888","4.7%","1,912","5.3%","2,108","4.5%","166","3.7%","438","4.4%","1,243","4.2%","1,000","4.4%","1,516","4.4%","501","4.0%","4,433","5.9%","10,687","5.6%","408","3.9%","782","3.5%","2,591","6.0%","261","3.3%","278","4.3%","356","4.2%","314","2.2%","36","2.6%","1,263","4.6%","393","4.9%","913","2.9%","884","3.8%"
"5 to 9 years","1,198","7.0%","773","3.4%","503","4.5%","1,736","4.9%","922","6.4%","3,892","4.7%","363","5.6%","1,664","5.4%","0","-","233","4.2%","120","3.3%","966","5.7%","982","3.9%","865","4.8%","754","4.6%","856","5.3%","1,759","7.8%","4,197","5.1%","2,056","5.6%","2,082","4.4%","190","4.3%","492","4.9%","1,404","4.7%","1,332","5.9%","1,540","4.5%","604","4.8%","4,436","5.9%","10,886","5.7%","491","4.7%","877","4.0%","2,647","6.1%","274","3.4%","310","4.8%","453","5.4%","374","2.6%","63","4.5%","1,437","5.2%","443","5.5%","1,129","3.5%","963","4.1%"
"10 to 14 years","1,542","9.0%","904","4.0%","603","5.4%","1,998","5.6%","1,170","8.2%","3,954","4.8%","370","5.7%","1,622","5.2%","0","-","322","5.8%","179","5.0%","1,064","6.2%","1,005","4.0%","1,019","5.7%","814","5.0%","988","6.1%","1,916","8.5%","4,646","5.6%","2,152","5.9%","2,261","4.8%","276","6.2%","576","5.8%","1,508","5.1%","1,450","6.4%","1,646","4.8%","736","5.8%","4,779","6.3%","11,581","6.1%","557","5.4%","1,061","4.8%","2,678","6.2%","372","4.7%","366","5.7%","501","6.0%","547","3.8%","49","3.5%","1,661","6.0%","494","6.2%","1,370","4.3%","1,211","5.2%"
"15 to 19 years","1,410","8.2%","2,270","10.1%","495","4.4%","2,067","5.8%","1,264","8.8%","3,976","4.8%","405","6.2%","1,533","4.9%","0","-","273","4.9%","221","6.1%","918","5.4%","2,062","8.2%","1,242","6.9%","816","5.0%","1,051","6.5%","1,811","8.0%","5,186","6.3%","2,165","5.9%","2,203","4.7%","255","5.7%","612","6.1%","1,583","5.4%","1,331","5.9%","1,782","5.2%","689","5.5%","4,424","5.9%","18,204","9.5%","632","6.1%","3,181","14.4%","2,513","5.8%","413","5.2%","363","5.6%","481","5.7%","686","4.7%","70","5.0%","1,751","6.3%","468","5.8%","5,093","16.0%","1,226","5.2%"
"20 to 24 years","801","4.7%","2,458","10.9%","532","4.8%","1,841","5.2%","785","5.5%","4,097","4.9%","380","5.8%","1,836","5.9%","0","-","221","4.0%","153","4.2%","972","5.7%","2,468","9.8%","962","5.4%","718","4.4%","813","5.0%","1,774","7.9%","4,971","6.0%","1,855","5.1%","2,383","5.1%","205","4.6%","425","4.3%","1,568","5.3%","1,129","5.0%","1,916","5.6%","614","4.9%","4,700","6.2%","22,750","11.9%","634","6.1%","1,664","7.5%","2,704","6.3%","385","4.8%","323","5.0%","382","4.5%","2,143","14.7%","60","4.3%","1,426","5.1%","444","5.5%","4,057","12.7%","1,256","5.4%"
"25 to 29 years","460","2.7%","1,195","5.3%","730","6.5%","1,966","5.5%","545","3.8%","5,119","6.2%","272","4.2%","2,493","8.0%","0","-","177","3.2%","107","3.0%","1,002","5.9%","2,179","8.7%","767","4.3%","769","4.7%","787","4.9%","1,765","7.8%","5,517","6.7%","1,967","5.4%","3,218","6.8%","204","4.6%","484","4.9%","1,813","6.1%","1,218","5.4%","2,368","6.9%","632","5.0%","5,873","7.8%","17,586","9.2%","484","4.7%","908","4.1%","3,561","8.2%","360","4.5%","313","4.8%","378","4.5%","653","4.5%","56","4.0%","1,275","4.6%","383","4.8%","1,267","4.0%","1,334","5.7%"
"30 to 34 years","577","3.4%","1,099","4.9%","777","7.0%","2,210","6.2%","609","4.3%","5,613","6.8%","323","4.9%","2,415","7.8%","0","-","183","3.3%","128","3.5%","1,081","6.3%","1,933","7.7%","839","4.7%","925","5.7%","1,028","6.4%","1,807","8.0%","5,848","7.1%","2,372","6.5%","3,505","7.4%","266","6.0%","519","5.2%","1,945","6.6%","1,316","5.8%","2,510","7.4%","708","5.6%","6,164","8.2%","15,941","8.3%","500","4.8%","999","4.5%","3,508","8.1%","347","4.3%","328","5.1%","414","4.9%","552","3.8%","62","4.4%","1,398","5.0%","511","6.4%","1,278","4.0%","1,301","5.6%"
"35 to 39 years","967","5.6%","1,098","4.9%","721","6.5%","2,262","6.3%","788","5.5%","5,310","6.4%","367","5.6%","2,093","6.7%","0","-","235","4.2%","148","4.1%","1,078","6.3%","1,500","6.0%","992","5.6%","963","5.9%","1,019","6.3%","1,804","8.0%","5,794","7.0%","2,464","6.8%","3,119","6.6%","218","4.9%","602","6.0%","1,887","6.4%","1,360","6.0%","2,245","6.6%","720","5.7%","5,465","7.2%","13,000","6.8%","615","5.9%","1,022","4.6%","2,989","6.9%","378","4.7%","365","5.7%","549","6.5%","488","3.4%","66","4.7%","1,516","5.5%","476","5.9%","1,263","4.0%","1,242","5.3%"
"40 to 44 years","1,097","6.4%","968","4.3%","601","5.4%","1,986","5.6%","902","6.3%","4,758","5.7%","387","5.9%","1,857","6.0%","0","-","260","4.7%","161","4.5%","1,000","5.9%","1,208","4.8%","930","5.2%","838","5.1%","981","6.1%","1,560","6.9%","5,123","6.2%","2,209","6.1%","2,738","5.8%","231","5.2%","547","5.5%","1,739","5.9%","1,434","6.4%","2,074","6.1%","676","5.4%","4,713","6.2%","10,751","5.6%","565","5.4%","1,045","4.7%","2,508","5.8%","375","4.7%","381","5.9%","546","6.5%","516","3.6%","68","4.8%","1,487","5.4%","473","5.9%","1,281","4.0%","1,123","4.8%"
"45 to 49 years","1,289","7.5%","1,119","5.0%","610","5.5%","2,258","6.3%","1,033","7.2%","4,895","5.9%","458","7.0%","1,895","6.1%","0","-","296","5.3%","225","6.2%","907","5.3%","1,228","4.9%","1,078","6.0%","996","6.1%","1,069","6.6%","1,336","5.9%","5,096","6.1%","2,266","6.2%","2,607","5.5%","303","6.8%","633","6.3%","1,807","6.1%","1,325","5.9%","1,944","5.7%","800","6.4%","4,550","6.0%","9,757","5.1%","670","6.5%","1,163","5.3%","2,636","6.1%","449","5.6%","376","5.8%","510","6.1%","653","4.5%","68","4.8%","1,642","5.9%","523","6.5%","1,350","4.2%","1,297","5.6%"
"50 to 54 years","1,443","8.4%","1,319","5.9%","747","6.7%","2,836","7.9%","1,097","7.7%","5,871","7.1%","515","7.9%","2,026","6.5%","0","-","375","6.7%","264","7.3%","1,031","6.0%","1,392","5.5%","1,310","7.3%","1,272","7.8%","1,160","7.2%","1,270","5.6%","5,685","6.9%","2,600","7.1%","3,182","6.8%","406","9.1%","786","7.9%","2,252","7.6%","1,508","6.7%","2,268","6.6%","935","7.4%","5,109","6.8%","10,147","5.3%","893","8.6%","1,409","6.4%","2,774","6.4%","584","7.3%","514","8.0%","678","8.1%","901","6.2%","101","7.2%","2,034","7.3%","673","8.4%","1,784","5.6%","1,671","7.2%"
