"Label (Grouping)","Beaver CCD, Beaver County, Utah!!Count","Beaver CCD, Beaver County, Utah!!Percent","Milford-Minersville CCD, Beaver County, Utah!!Count","Milford-Minersville CCD, Beaver County, Utah!!Percent","Brigham City CCD, Box Elder County, Utah!!Count","Brigham City CCD, Box Elder County, Utah!!Percent","Howell-Snowville CCD, Box Elder County, Utah!!Count","Howell-Snowville CCD, Box Elder County, Utah!!Percent","Tremonton CCD, Box Elder County, Utah!!Count","Tremonton CCD, Box Elder County, Utah!!Percent","West Box Elder CCD, Box Elder County, Utah!!Count","West Box Elder CCD, Box Elder County, Utah!!Percent","East Cache CCD, Cache County, Utah!!Count","East Cache CCD, Cache County, Utah!!Percent","Hyrum CCD, Cache County, Utah!!Count","Hyrum CCD, Cache County, Utah!!Percent","Lewiston CCD, Cache County, Utah!!Count","Lewiston CCD, Cache County, Utah!!Percent","Logan CCD, Cache County, Utah!!Count","Logan CCD, Cache County, Utah!!Percent","Smithfield CCD, Cache County, Utah!!Count","Smithfield CCD, Cache County, Utah!!Percent","Wellsville CCD, Cache County, Utah!!Count","Wellsville CCD, Cache County, Utah!!Percent","East Carbon CCD, Carbon County, Utah!!Count","East Carbon CCD, Carbon County, Utah!!Percent","Helper CCD, Carbon County, Utah!!Count","Helper CCD, Carbon County, Utah!!Percent","Price CCD, Carbon County, Utah!!Count","Price CCD, Carbon County, Utah!!Percent","East Daggett CCD, Daggett County, Utah!!Count","East Daggett CCD, Daggett County, Utah!!Percent","West Daggett CCD, Daggett County, Utah!!Count","West Daggett CCD, Daggett County, Utah!!Percent","North Davis CCD, Davis County, Utah!!Count","North Davis CCD, Davis County, Utah!!Percent","South Davis CCD, Davis County, Utah!!Count","South Davis CCD, Davis County, Utah!!Percent","Duchesne CCD, Duchesne County, Utah!!Count","Duchesne CCD, Duchesne County, Utah!!Percent","North Duchesne CCD, Duchesne County, Utah!!Count","North Duchesne CCD, Duchesne County, Utah!!Percent","Roosevelt CCD, Duchesne County, Utah!!Count","Roosevelt CCD, Duchesne County, Utah!!Percent","South Duchesne CCD, Duchesne County, Utah!!Count","South Duchesne CCD, Duchesne County, Utah!!Percent","Castle Dale-Huntington CCD, Emery County, Utah!!Count","Castle Dale-Huntington CCD, Emery County, Utah!!Percent","Emery-Ferron CCD, Emery County, Utah!!Count","Emery-Ferron CCD, Emery County, Utah!!Percent","Green River CCD, Emery County, Utah!!Count","Green River CCD, Emery County, Utah!!Percent","East Garfield CCD, Garfield County, Utah!!Count","East Garfield CCD, Garfield County, Utah!!Percent","Escalante CCD, Garfield County, Utah!!Count","Escalante CCD, Garfield County, Utah!!Percent","Panguitch CCD, Garfield County, Utah!!Count","Panguitch CCD, Garfield County, Utah!!Percent","Tropic CCD, Garfield County, Utah!!Count","Tropic CCD, Garfield County, Utah!!Percent","Moab CCD, Grand County, Utah!!Count","Moab CCD, Grand County, Utah!!Percent","Thompson Springs CCD, Grand County, Utah!!Count","Thompson Springs CCD, Grand County, Utah!!Percent","Uintah and Ouray CCD, Grand County, Utah!!Count","Uintah and Ouray CCD, Grand County, Utah!!Percent","Beryl-Newcastle CCD, Iron County, Utah!!Count","Beryl-Newcastle CCD, Iron County, Utah!!Percent","Cedar City CCD, Iron County, Utah!!Count","Cedar City CCD, Iron County, Utah!!Percent","Parowan CCD, Iron County, Utah!!Count","Parowan CCD, Iron County, Utah!!Percent","Eureka CCD, Juab County, Utah!!Count","Eureka CCD, Juab County, Utah!!Percent","Nephi CCD, Juab County, Utah!!Count","Nephi CCD, Juab County, Utah!!Percent","West Juab CCD, Juab County, Utah!!Count","West Juab CCD, Juab County, Utah!!Percent","Kanab CCD, Kane County, Utah!!Count","Kanab CCD, Kane County, Utah!!Percent","Orderville CCD, Kane County, Utah!!Count","Orderville CCD, Kane County, Utah!!Percent","Delta CCD, Millard County, Utah!!Count","Delta CCD, Millard County, Utah!!Percent","Fillmore CCD, Millard County, Utah!!Count","Fillmore CCD, Millard County, Utah!!Percent","Garrison-Sevier Lake CCD, Millard County, Utah!!Count","Garrison-Sevier Lake CCD, Millard County, Utah!!Percent","Morgan North CCD, Morgan County, Utah!!Count","Morgan North CCD, Morgan County, Utah!!Percent","Morgan South CCD, Morgan County, Utah!!Count","Morgan South CCD, Morgan County, Utah!!Percent","Circleville CCD, Piute County, Utah!!Count","Circleville CCD, Piute County, Utah!!Percent","Marysvale CCD, Piute County, Utah!!Count","Marysvale CCD, Piute County, Utah!!Percent","Garden City-Laketown CCD, Rich County, Utah!!Count","Garden City-Laketown CCD, Rich County, Utah!!Percent","Randolph-Woodruff CCD, Rich County, Utah!!Count","Randolph-Woodruff CCD, Rich County, Utah!!Percent","Bingham CCD, Salt Lake County, Utah!!Count","Bingham CCD, Salt Lake County, Utah!!Percent","Cottonwood CCD, Salt Lake County, Utah!!Count","Cottonwood CCD, Salt Lake County, Utah!!Percent","Emigration CCD, Salt Lake County, Utah!!Count","Emigration CCD, Salt Lake County, Utah!!Percent","Magna CCD, Salt Lake County, Utah!!Count","Magna CCD, Salt Lake County, Utah!!Percent","Salt Lake City CCD, Salt Lake County, Utah!!Count","Salt Lake City CCD, Salt Lake County, Utah!!Percent","Blanding CCD, San Juan County, Utah!!Count","Blanding CCD, San Juan County, Utah!!Percent","Casa del Eco Mesa-White Mesa CCD, San Juan County, Utah!!Count","Casa del Eco Mesa-White Mesa CCD, San Juan County, Utah!!Percent","Monticello CCD, San Juan County, Utah!!Count","Monticello CCD, San Juan County, Utah!!Percent","Oljato CCD, San Juan County, Utah!!Count","Oljato CCD, San Juan County, Utah!!Percent","Ephraim-Manti CCD, Sanpete County, Utah!!Count","Ephraim-Manti CCD, Sanpete County, Utah!!Percent","Gunnison CCD, Sanpete County, Utah!!Count","Gunnison CCD, Sanpete County, Utah!!Percent","Mount Pleasant-Moroni CCD, Sanpete County, Utah!!Count","Mount Pleasant-Moroni CCD, Sanpete County, Utah!!Percent","Monroe CCD, Sevier County, Utah!!Count","Monroe CCD, Sevier County, Utah!!Percent","Richfield CCD, Sevier County, Utah!!Count","Richfield CCD, Sevier County, Utah!!Percent","Salina CCD, Sevier County, Utah!!Count","Salina CCD, Sevier County, Utah!!Percent","Coalville CCD, Summit County, Utah!!Count","Coalville CCD, Summit County, Utah!!Percent","Kamas CCD, Summit County, Utah!!Count","Kamas CCD, Summit County, Utah!!Percent","Park City CCD, Summit County, Utah!!Count","Park City CCD, Summit County, Utah!!Percent","Dugway-Wendover CCD, Tooele County, Utah!!Count","Dugway-Wendover CCD, Tooele County, Utah!!Percent","Rush Valley CCD, Tooele County, Utah!!Count","Rush Valley CCD, Tooele County, Utah!!Percent","Tooele-Grantsville CCD, Tooele County, Utah!!Count","Tooele-Grantsville CCD, Tooele County, Utah!!Percent","Uintah and Ouray CCD, Uintah County, Utah!!Count","Uintah and Ouray CCD, Uintah County, Utah!!Percent","Vernal CCD, Uintah County, Utah!!Count","Vernal CCD, Uintah County, Utah!!Percent","American Fork-Pleasant Grove CCD, Utah County, Utah!!Count","American Fork-Pleasant Grove CCD, Utah County, Utah!!Percent","Goshen CCD, Utah County, Utah!!Count","Goshen CCD, Utah County, Utah!!Percent","Lehi CCD, Utah County, Utah!!Count","Lehi CCD, Utah County, Utah!!Percent","Provo-Orem CCD, Utah County, Utah!!Count","Provo-Orem CCD, Utah County, Utah!!Percent","Spanish Fork-Payson CCD, Utah County, Utah!!Count","Spanish Fork-Payson CCD, Utah County, Utah!!Percent","Springville-Mapleton CCD, Utah County, Utah!!Count","Springville-Mapleton CCD, Utah County, Utah!!Percent","Heber City East CCD, Wasatch County, Utah!!Count","Heber City East CCD, Wasatch County, Utah!!Percent","Heber City South CCD, Wasatch County, Utah!!Count","Heber City South CCD, Wasatch County, Utah!!Percent","Heber City West CCD, Wasatch County, Utah!!Count","Heber City West CCD, Wasatch County, Utah!!Percent","North Wasatch CCD, Wasatch County, Utah!!Count","North Wasatch CCD, Wasatch County, Utah!!Percent","Soldier Summit CCD, Wasatch County, Utah!!Count","Soldier Summit CCD, Wasatch County, Utah!!Percent","Uintah and Ouray CCD, Wasatch County, Utah!!Count","Uintah and Ouray CCD, Wasatch County, Utah!!Percent","Enterprise CCD, Washington County, Utah!!Count","Enterprise CCD, Washington County, Utah!!Percent","Hurricane CCD, Washington County, Utah!!Count","Hurricane CCD, Washington County, Utah!!Percent","St. George CCD, Washington County, Utah!!Count","St. George CCD, Washington County, Utah!!Percent","Hanksville CCD, Wayne County, Utah!!Count","Hanksville CCD, Wayne County, Utah!!Percent","Loa CCD, Wayne County, Utah!!Count","Loa CCD, Wayne County, Utah!!Percent","Northwest Weber CCD, Weber County, Utah!!Count","Northwest Weber CCD, Weber County, Utah!!Percent","Ogden CCD, Weber County, Utah!!Count","Ogden CCD, Weber County, Utah!!Percent","Ogden Valley CCD, Weber County, Utah!!Count","Ogden Valley CCD, Weber County, Utah!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total population","4,426","100.0%","2,646","100.0%","30,535","100.0%","3,118","100.0%","23,633","100.0%","380","100.0%","115","100.0%","11,716","100.0%","6,883","100.0%","90,654","100.0%","16,627","100.0%","7,159","100.0%","1,577","100.0%","3,375","100.0%","15,460","100.0%","150","100.0%","785","100.0%","233,947","100.0%","128,732","100.0%","3,967","100.0%","26","100.0%","15,602","100.0%","1","100.0%","6,747","100.0%","2,147","100.0%","931","100.0%","50","100.0%","1,285","100.0%","2,342","100.0%","1,406","100.0%","9,535","100.0%","134","100.0%","0","-","1,452","100.0%","51,403","100.0%","4,434","100.0%","697","100.0%","10,953","100.0%","136","100.0%","6,120","100.0%","1,547","100.0%","7,820","100.0%","5,017","100.0%","138","100.0%","10,626","100.0%","1,669","100.0%","1,045","100.0%","393","100.0%","1,483","100.0%","1,027","100.0%","98,934","100.0%","4,530","100.0%","9,119","100.0%","33,384","100.0%","1,039,271","100.0%","4,879","100.0%","3,595","100.0%","3,562","100.0%","2,482","100.0%","10,565","100.0%","5,580","100.0%","12,292","100.0%","5,142","100.0%","11,777","100.0%","4,603","100.0%","5,799","100.0%","7,846","100.0%","28,712","100.0%","1,717","100.0%","985","100.0%","69,996","100.0%","5,552","100.0%","30,068","100.0%","148,978","100.0%","5,884","100.0%","135,207","100.0%","225,926","100.0%","87,042","100.0%","56,362","100.0%","14,611","100.0%","4,840","100.0%","12,277","100.0%","3,015","100.0%","0","-","45","100.0%","2,736","100.0%","31,777","100.0%","145,766","100.0%","258","100.0%","2,228","100.0%","21,084","100.0%","232,873","100.0%","8,266","100.0%"
"Under 5 years","269","6.1%","215","8.1%","2,195","7.2%","244","7.8%","2,085","8.8%","36","9.5%","5","4.3%","1,044","8.9%","567","8.2%","6,907","7.6%","1,472","8.9%","497","6.9%","92","5.8%","171","5.1%","922","6.0%","10","6.7%","30","3.8%","18,357","7.8%","9,639","7.5%","256","6.5%","3","11.5%","1,271","8.1%","0","0.0%","406","6.0%","132","6.1%","77","8.3%","0","0.0%","58","4.5%","127","5.4%","79","5.6%","473","5.0%","9","6.7%","0","-","62","4.3%","3,700","7.2%","275","6.2%","30","4.3%","899","8.2%","18","13.2%","333","5.4%","79","5.1%","602","7.7%","380","7.6%","8","5.8%","738","6.9%","117","7.0%","58","5.6%","10","2.5%","106","7.1%","86","8.4%","8,718","8.8%","198","4.4%","468","5.1%","2,588","7.8%","66,518","6.4%","374","7.7%","221","6.1%","240","6.7%","145","5.8%","739","7.0%","300","5.4%","880","7.2%","291","5.7%","870","7.4%","323","7.0%","334","5.8%","498","6.3%","1,289","4.5%","104","6.1%","51","5.2%","5,468","7.8%","398","7.2%","2,497","8.3%","11,525","7.7%","616","10.5%","16,266","12.0%","17,757","7.9%","7,212","8.3%","5,214","9.3%","960","6.6%","438","9.0%","868","7.1%","152","5.0%","0","-","2","4.4%","212","7.7%","1,994","6.3%","9,177","6.3%","10","3.9%","119","5.3%","1,305","6.2%","16,884","7.3%","408","4.9%"
"5 to 9 years","352","8.0%","213","8.0%","2,511","8.2%","275","8.8%","2,193","9.3%","30","7.9%","16","13.9%","1,152","9.8%","668","9.7%","6,755","7.5%","1,679","10.1%","678","9.5%","115","7.3%","234","6.9%","1,142","7.4%","14","9.3%","49","6.2%","21,926","9.4%","11,383","8.8%","281","7.1%","2","7.7%","1,486","9.5%","0","0.0%","545","8.1%","173","8.1%","67","7.2%","0","0.0%","62","4.8%","137","5.8%","80","5.7%","571","6.0%","1","0.7%","0","-","110","7.6%","3,966","7.7%","320","7.2%","43","6.2%","1,096","10.0%","9","6.6%","341","5.6%","99","6.4%","700","9.0%","375","7.5%","12","8.7%","1,071","10.1%","133","8.0%","62","5.9%","14","3.6%","118","8.0%","124","12.1%","10,073","10.2%","256","5.7%","537","5.9%","3,015","9.0%","72,490","7.0%","436","8.9%","278","7.7%","280","7.9%","186","7.5%","753","7.1%","330","5.9%","988","8.0%","397","7.7%","1,005","8.5%","336","7.3%","403","6.9%","586","7.5%","1,698","5.9%","112","6.5%","85","8.6%","6,576","9.4%","520","9.4%","2,840","9.4%","13,655","9.2%","720","12.2%","16,909","12.5%","15,083","6.7%","8,430","9.7%","5,656","10.0%","1,257","8.6%","530","11.0%","1,031","8.4%","116","3.8%","0","-","0","0.0%","274","10.0%","2,284","7.2%","10,523","7.2%","13","5.0%","133","6.0%","1,833","8.7%","17,948","7.7%","491","5.9%"
"10 to 14 years","437","9.9%","254","9.6%","2,872","9.4%","312","10.0%","2,342","9.9%","25","6.6%","6","5.2%","1,142","9.7%","675","9.8%","6,736","7.4%","1,733","10.4%","797","11.1%","132","8.4%","237","7.0%","1,247","8.1%","9","6.0%","49","6.2%","23,236","9.9%","11,646","9.0%","369","9.3%","2","7.7%","1,609","10.3%","0","0.0%","675","10.0%","177","8.2%","68","7.3%","0","0.0%","80","6.2%","194","8.3%","120","8.5%","617","6.5%","7","5.2%","0","-","169","11.6%","4,374","8.5%","331","7.5%","51","7.3%","1,179","10.8%","10","7.4%","454","7.4%","114","7.4%","741","9.5%","456","9.1%","7","5.1%","1,269","11.9%","166","9.9%","97","9.3%","28","7.1%","127","8.6%","79","7.7%","10,372","10.5%","311","6.9%","618","6.8%","3,242","9.7%","77,174","7.4%","440","9.0%","307","8.5%","264","7.4%","212","8.5%","911","8.6%","344","6.2%","1,153","9.4%","466","9.1%","1,122","9.5%","396","8.6%","472","8.1%","712","9.1%","2,216","7.7%","135","7.9%","97","9.8%","7,157","10.2%","563","10.1%","3,022","10.1%","15,832","10.6%","606","10.3%","15,495","11.5%","14,480","6.4%","9,146","10.5%","5,971","10.6%","1,465","10.0%","501","10.4%","1,188","9.7%","131","4.3%","0","-","2","4.4%","295","10.8%","2,591","8.2%","11,609","8.0%","6","2.3%","142","6.4%","2,089","9.9%","18,654","8.0%","637","7.7%"
"15 to 19 years","370","8.4%","244","9.2%","2,581","8.5%","292","9.4%","1,899","8.0%","35","9.2%","6","5.2%","1,050","9.0%","565","8.2%","9,192","10.1%","1,478","8.9%","824","11.5%","82","5.2%","262","7.8%","1,182","7.6%","12","8.0%","66","8.4%","20,921","8.9%","10,234","7.9%","287","7.2%","0","0.0%","1,302","8.3%","0","0.0%","567","8.4%","196","9.1%","69","7.4%","6","12.0%","72","5.6%","190","8.1%","128","9.1%","543","5.7%","18","13.4%","0","-","176","12.1%","5,146","10.0%","343","7.7%","46","6.6%","999","9.1%","5","3.7%","344","5.6%","135","8.7%","656","8.4%","423","8.4%","19","13.8%","1,039","9.8%","163","9.8%","90","8.6%","29","7.4%","105","7.1%","72","7.0%","8,952","9.0%","264","5.8%","640","7.0%","2,817","8.4%","75,687","7.3%","438","9.0%","315","8.8%","281","7.9%","235","9.5%","1,396","13.2%","331","5.9%","1,220","9.9%","411","8.0%","1,092","9.3%","360","7.8%","450","7.8%","600","7.6%","2,171","7.6%","107","6.2%","78","7.9%","6,166","8.8%","473","8.5%","2,506","8.3%","15,088","10.1%","498","8.5%","11,631","8.6%","20,706","9.2%","8,494","9.8%","5,260","9.3%","1,384","9.5%","395","8.2%","989","8.1%","164","5.4%","0","-","2","4.4%","235","8.6%","2,504","7.9%","11,580","7.9%","26","10.1%","140","6.3%","1,761","8.4%","18,196","7.8%","637","7.7%"
"20 to 24 years","251","5.7%","138","5.2%","1,860","6.1%","159","5.1%","1,454","6.2%","12","3.2%","11","9.6%","725","6.2%","377","5.5%","15,321","16.9%","1,003","6.0%","399","5.6%","55","3.5%","145","4.3%","982","6.4%","1","0.7%","31","3.9%","16,164","6.9%","7,979","6.2%","152","3.8%","4","15.4%","818","5.2%","0","0.0%","318","4.7%","65","3.0%","52","5.6%","0","0.0%","49","3.8%","85","3.6%","82","5.8%","478","5.0%","8","6.0%","0","-","92","6.3%","6,347","12.3%","208","4.7%","50","7.2%","654","6.0%","6","4.4%","229","3.7%","77","5.0%","329","4.2%","239","4.8%","6","4.3%","555","5.2%","81","4.9%","60","5.7%","12","3.1%","62","4.2%","50","4.9%","6,633","6.7%","199","4.4%","427","4.7%","2,428","7.3%","82,729","8.0%","374","7.7%","225","6.3%","167","4.7%","164","6.6%","1,198","11.3%","363","6.5%","634","5.2%","260","5.1%","638","5.4%","237","5.1%","357","6.2%","393","5.0%","1,401","4.9%","131","7.6%","50","5.1%","4,226","6.0%","303","5.5%","1,718","5.7%","11,335","7.6%","311","5.3%","7,577","5.6%","46,610","20.6%","6,034","6.9%","4,001","7.1%","850","5.8%","270","5.6%","665","5.4%","145","4.8%","0","-","3","6.7%","136","5.0%","1,779","5.6%","10,408","7.1%","7","2.7%","114","5.1%","1,119","5.3%","18,239","7.8%","406","4.9%"
"25 to 29 years","247","5.6%","149","5.6%","1,764","5.8%","139","4.5%","1,475","6.2%","24","6.3%","2","1.7%","768","6.6%","417","6.1%","8,125","9.0%","979","5.9%","291","4.1%","64","4.1%","171","5.1%","844","5.5%","1","0.7%","26","3.3%","15,025","6.4%","8,262","6.4%","189","4.8%","0","0.0%","928","5.9%","0","0.0%","328","4.9%","72","3.4%","62","6.7%","4","8.0%","63","4.9%","90","3.8%","81","5.8%","647","6.8%","12","9.0%","0","-","71","4.9%","3,577","7.0%","192","4.3%","43","6.2%","637","5.8%","6","4.4%","314","5.1%","57","3.7%","390","5.0%","245","4.9%","0","0.0%","379","3.6%","54","3.2%","51","4.9%","16","4.1%","48","3.2%","39","3.8%","7,209","7.3%","202","4.5%","340","3.7%","2,481","7.4%","88,851","8.5%","265","5.4%","241","6.7%","181","5.1%","184","7.4%","505","4.8%","445","8.0%","554","4.5%","193","3.8%","588","5.0%","256","5.6%","312","5.4%","370","4.7%","1,349","4.7%","89","5.2%","44","4.5%","4,301","6.1%","309","5.6%","1,918","6.4%","9,880","6.6%","357","6.1%","10,599","7.8%","25,600","11.3%","5,620","6.5%","3,669","6.5%","686","4.7%","282","5.8%","605","4.9%","197","6.5%","0","-","1","2.2%","113","4.1%","1,543","4.9%","8,142","5.6%","16","6.2%","86","3.9%","1,062","5.0%","18,115","7.8%","263","3.2%"
"30 to 34 years","296","6.7%","144","5.4%","1,723","5.6%","168","5.4%","1,468","6.2%","15","3.9%","8","7.0%","738","6.3%","431","6.3%","5,579","6.2%","1,136","6.8%","319","4.5%","101","6.4%","199","5.9%","863","5.6%","9","6.0%","26","3.3%","15,640","6.7%","8,546","6.6%","173","4.4%","1","3.8%","1,104","7.1%","0","0.0%","346","5.1%","111","5.2%","40","4.3%","4","8.0%","65","5.1%","129","5.5%","58","4.1%","675","7.1%","12","9.0%","0","-","55","3.8%","2,970","5.8%","215","4.8%","30","4.3%","626","5.7%","6","4.4%","305","5.0%","62","4.0%","457","5.8%","256","5.1%","10","7.2%","490","4.6%","59","3.5%","43","4.1%","10","2.5%","77","5.2%","66","6.4%","7,681","7.8%","236","5.2%","405","4.4%","2,544","7.6%","82,859","8.0%","324","6.6%","228","6.3%","203","5.7%","134","5.4%","540","5.1%","458","8.2%","586","4.8%","258","5.0%","668","5.7%","245","5.3%","292","5.0%","446","5.7%","1,602","5.6%","101","5.9%","50","5.1%","4,839","6.9%","350","6.3%","2,037","6.8%","8,596","5.8%","444","7.5%","11,807","8.7%","14,649","6.5%","5,497","6.3%","3,590","6.4%","788","5.4%","316","6.5%","705","5.7%","185","6.1%","0","-","0","0.0%","168","6.1%","1,697","5.3%","7,593","5.2%","11","4.3%","90","4.0%","1,254","5.9%","16,834","7.2%","334","4.0%"
"35 to 39 years","312","7.0%","197","7.4%","2,149","7.0%","206","6.6%","1,579","6.7%","16","4.2%","6","5.2%","818","7.0%","453","6.6%","5,283","5.8%","1,204","7.2%","471","6.6%","98","6.2%","235","7.0%","985","6.4%","8","5.3%","46","5.9%","17,486","7.5%","9,572","7.4%","210","5.3%","0","0.0%","1,117","7.2%","0","0.0%","426","6.3%","113","5.3%","62","6.7%","1","2.0%","72","5.6%","142","6.1%","94","6.7%","691","7.2%","6","4.5%","0","-","73","5.0%","3,014","5.9%","213","4.8%","41","5.9%","706","6.4%","11","8.1%","374","6.1%","58","3.7%","517","6.6%","305","6.1%","20","14.5%","715","6.7%","100","6.0%","54","5.2%","16","4.1%","79","5.3%","66","6.4%","8,213","8.3%","290","6.4%","558","6.1%","2,713","8.1%","78,426","7.5%","311","6.4%","193","5.4%","188","5.3%","127","5.1%","578","5.5%","518","9.3%","693","5.6%","335","6.5%","731","6.2%","314","6.8%","360","6.2%","565","7.2%","1,776","6.2%","102","5.9%","68","6.9%","5,167","7.4%","382","6.9%","2,344","7.8%","9,464","6.4%","458","7.8%","11,612","8.6%","11,648","5.2%","5,798","6.7%","3,875","6.9%","926","6.3%","427","8.8%","779","6.3%","196","6.5%","0","-","2","4.4%","148","5.4%","1,890","5.9%","8,460","5.8%","6","2.3%","134","6.0%","1,658","7.9%","16,404","7.0%","467","5.6%"
