STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,COLOR,layer,path
"01","123","90819","00161623","0112390819",0600000US0112390819,Dadeville,Dadeville CCD,"22",Z5,G4040,S,630396599,75087128,"+32.8454753","-085.7644993",#6dc6e9,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","101","92214","00165905","0110192214",0600000US0110192214,Montgomery,Montgomery CCD,"22",Z5,G4040,S,458118859,20598672,"+32.3786468","-086.2974110",#3e47c8,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","103","91035","00165912","0110391035",0600000US0110391035,Eva,Eva CCD,"22",Z5,G4040,S,247431287,923083,"+34.3558416","-086.7007545",#d74986,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","103","92970","00165916","0110392970",0600000US0110392970,Somerville,Somerville CCD,"22",Z5,G4040,S,230867008,15565818,"+34.5021996","-086.8001573",#b074e8,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","103","91071","00165913","0110391071",0600000US0110391071,Falkville,Falkville CCD,"22",Z5,G4040,S,212457829,821906,"+34.3700815","-086.9035908",#2d8dcd,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","103","91539","00165914","0110391539",0600000US0110391539,Hartselle,Hartselle CCD,"22",Z5,G4040,S,146535764,4439504,"+34.4660311","-086.9281914",#475acf,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","103","91809","00165915","0110391809",0600000US0110391809,Laceys Spring,Laceys Spring CCD,"22",Z5,G4040,S,245964292,8439069,"+34.4968637","-086.6363398",#db51e5,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","107","91008","00165924","0110791008",0600000US0110791008,Ethelsville,Ethelsville CCD,"22",Z5,G4040,S,350297377,1236871,"+33.4578515","-088.2087735",#ca2260,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","107","92700","00165927","0110792700",0600000US0110792700,Reform,Reform CCD,"22",Z5,G4040,S,318140358,475468,"+33.4216907","-088.0182061",#7ad8df,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","107","91359","00165925","0110791359",0600000US0110791359,Gordo,Gordo CCD,"22",Z5,G4040,S,286738754,289306,"+33.3973636","-087.8929221",#58a0d0,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","007","92601","00165658","0100792601",0600000US0100792601,Piper-Coleanor,Piper-Coleanor CCD,"22",Z5,G4040,S,194040467,2016668,"+33.0652226","-086.9966317",#63dc81,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","007","90531","00161599","0100790531",0600000US0100790531,Centreville-Brent,Centreville-Brent CCD,"22",Z5,G4040,S,1005054334,4335179,"+32.9318690","-087.1437799",#6e5deb,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","007","93438","00165659","0100793438",0600000US0100793438,West Blocton,West Blocton CCD,"22",Z5,G4040,S,413093912,3220455,"+33.1203262","-087.1369779",#843cd7,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","103","90837","00165910","0110390837",0600000US0110390837,Danville,Danville CCD,"22",Z5,G4040,S,209247850,1520049,"+34.4073766","-087.0577520",#d45fdc,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","103","90864","00165911","0110390864",0600000US0110390864,Decatur,Decatur CCD,"22",Z5,G4040,S,208851186,18467306,"+34.5744582","-087.0331591",#5847d6,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","073","90324","00161616","0107390324",0600000US0107390324,Birmingham,Birmingham CCD,"22",Z5,G4040,S,823599979,3707389,"+33.5147678","-086.8264215",#2bca5d,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","073","90722","00165815","0107390722",0600000US0107390722,Concord-Rock Creek,Concord-Rock Creek CCD,"22",Z5,G4040,S,84266473,562662,"+33.4541841","-087.0623842",#16adee,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","073","91656","00165819","0107391656",0600000US0107391656,Hoover,Hoover CCD,"22",Z5,G4040,S,115637295,822751,"+33.3940385","-086.8612912",#d4d13d,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","073","91845","00165821","0107391845",0600000US0107391845,Leeds,Leeds CCD,"22",Z5,G4040,S,108263853,2632581,"+33.5115050","-086.6094571",#6313e5,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","073","92484","00165824","0107392484",0600000US0107392484,Palmerdale,Palmerdale CCD,"22",Z5,G4040,S,53207773,1056974,"+33.7409980","-086.6501254",#e37e77,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","073","92745","00165825","0107392745",0600000US0107392745,Robbins Crossroads,Robbins Crossroads CCD,"22",Z5,G4040,S,91987025,967980,"+33.7270280","-086.9970495",#4dd4a0,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","073","93447","00165828","0107393447",0600000US0107393447,West Jefferson,West Jefferson CCD,"22",Z5,G4040,S,115211500,6443154,"+33.5796604","-087.1460261",#67cd64,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","075","93294","00165831","0107593294",0600000US0107593294,Vernon,Vernon CCD,"22",Z5,G4040,S,492958346,850894,"+33.7661380","-088.0979273",#ed3789,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","037","91350","00165720","0103791350",0600000US0103791350,Goodwater-Kellyton,Goodwater-Kellyton CCD,"22",Z5,G4040,S,251399780,1592607,"+32.9929287","-086.0738794",#7fb1eb,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","037","93429","00161608","0103793429",0600000US0103793429,Weogufka-Marble Valley,Weogufka-Marble Valley CCD,"22",Z5,G4040,S,784578052,23669235,"+32.9963383","-086.3182808",#bed274,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","107","90072","01935003","0110790072",0600000US0110790072,Aliceville,Aliceville CCD,"22",Z5,G4040,S,936657096,19821263,"+33.1436760","-088.1111873",#3adb2b,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","045","90828","00165739","0104590828",0600000US0104590828,Daleville,Daleville CCD,"22",Z5,G4040,S,157581197,0,"+31.2674658","-085.7393577",#2dda4a,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","045","91203","00165741","0104591203",0600000US0104591203,Fort Novosel,Fort Novosel CCD,"22",Z5,G4040,S,172480235,2801707,"+31.3914732","-085.7214541",#3acedc,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","031","90954","00165707","0103190954",0600000US0103190954,Elba,Elba CCD,"22",Z5,G4040,S,409852422,1565979,"+31.4154838","-086.0814487",#ca6577,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","031","91341","00165709","0103191341",0600000US0103191341,Goodman,Goodman CCD,"22",Z5,G4040,S,213566240,808106,"+31.2557098","-086.0287624",#d1c366,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","031","93303","00165712","0103193303",0600000US0103193303,Victoria,Victoria CCD,"22",Z5,G4040,S,208317555,177901,"+31.5375844","-085.8984006",#355aed,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
"01","015","92430","00165677","0101592430",0600000US0101592430,Ohatchee,Ohatchee CCD,"22",Z5,G4040,S,177696320,7524002,"+33.7687614","-086.0372364",#715cce,tl_2025_01_cousub,C:/Users/LaGoySM/Documents/GitHub/MandatePresidencyGame/GIS/tl_2025_01_cousub/tl_2025_01_cousub.shp
